SourceName	ReplaceName
宝箱1	宝箱1
宝箱2	宝箱2
告示牌1	告示牌1
告示牌2	告示牌2
告示牌3	告示牌3
路标1	路标1
路标2	路标2
路标3	路标3
剑	剑
刀	刀
棍棒	棍棒
枪	枪
锤	锤
双刀	双刀
飞镖	飞镖
弓	弓
暗器匣	暗器匣
红药瓶	红药瓶
白药瓶	白药瓶
蓝药瓶	蓝药瓶
酒坛子	酒坛子
黄布衣	黄布衣
白铠甲	白铠甲
蓝布衣	蓝布衣
金铠甲	金铠甲
男靴	男靴
女鞋	女鞋
蓝色布帽	蓝色布帽
钢盔	钢盔
发簪	发簪
金盔	金盔
布腰带	布腰带
金属腰带	金属腰带
护腕	护腕
玉镯	玉镯
项链	项链
戒指	戒指
土地符	土地符
传送点	传送点
马鞍	马鞍
任务道具	任务道具
小钱	小钱
一点钱	一点钱
不少钱	不少钱
很多钱	很多钱
暴多钱	暴多钱
大曼陀罗花	大曼陀罗花
红蚯蚓	红蚯蚓
碧裳凤蝶	碧裳凤蝶
金丝猴	金丝猴
钻石	钻石
布袋	布袋
蜘蛛	蜘蛛
当归	当归
紫苜蓿	紫苜蓿
灵芝	灵芝
山里红	山里红
亮银矿	亮银矿
赤铜矿	赤铜矿
磁铁矿	磁铁矿
藿香	藿香
烧鸡	烧鸡
石头	石头
小黄狗	小黄狗
小灰驴	小灰驴
朱砂	朱砂
麝香	麝香
何首乌	何首乌
路标41	路标41
路标42	路标42
路标43	路标43
路标44	路标44
路标51	路标51
路标52	路标52
路标53	路标53
牛皮	牛皮
树杈	树杈
紫烟玉佩	紫烟玉佩
红药瓶	红药瓶
白药瓶	白药瓶
蓝药瓶	蓝药瓶
红药瓶	红药瓶
白药瓶	白药瓶
蓝药瓶	蓝药瓶
音效百灵	音效百灵
音效黄莺	音效黄莺
音效画眉	音效画眉
音效山雀	音效山雀
音效乌鸦	音效乌鸦
音效夜猫	音效夜猫
音效蟋蟀	音效蟋蟀
音效吱吱	音效吱吱
音效蛐蛐	音效蛐蛐
音效昆虫	音效昆虫
音效小溪	音效小溪
音效山泉	音效山泉
音效敲钟	音效敲钟
音效瀑布	音效瀑布
音效乐音	音效乐音
音效打更	音效打更
特殊道具	特殊道具
鲜花	鲜花
白雪百合	白雪百合
阳春灵芝	阳春灵芝
宝石相关	宝石相关
爆竹相关	爆竹相关
圣诞树	圣诞树
令牌	令牌
鸡腿	鸡腿
披风	披风
元宝	元宝
金元宝	金元宝
般若心经	般若心经
大红包	大红包
小红包	小红包
新春大礼包	新春大礼包
新春小礼包	新春小礼包
心心相映符	心心相映符
猴年吉祥包	猴年吉祥包
合欢包	合欢包
鸳鸯帕	鸳鸯帕
情意结	情意结
山河社稷图碎片	山河社稷图碎片
英雄令	英雄令
碎片	碎片
障碍1	障碍1
红枣	红枣
板栗	板栗
粽叶	粽叶
稻米	稻米
猪肉	猪肉
牛肉	牛肉
粽子	粽子
黄金宝箱	黄金宝箱
屈原秘方	屈原秘方
天山回神丹	天山回神丹
水晶瓶	水晶瓶
冰蚕无极丝	冰蚕无极丝
南明之精	南明之精
铜钱相关	铜钱相关
武林秘录	武林秘录
上手指引	上手指引
桂花酒	桂花酒
月饼盒	月饼盒
中秋单字	中秋单字
易容面具	易容面具
中秋物品	中秋物品
储物箱	储物箱
古旧箱子	古旧箱子
满求果	满求果
椰子	椰子
木瓜	木瓜
芒果	芒果
成群果	成群果
春饼南	春饼南
春饼北	春饼北
