名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	脚本名(参数1)	技能ID（参数1）	参数2(释法类型)	参数3(是否广播)	参数4(是否有等级概念)	参数5(是否可放快捷栏)	使用是否需要目标	物品最大叠放值	要求等级相同	要求五行相同	要求幸运相同	要求MagicLevel1相同	要求MagicLevel2相同	要求MagicLevel3相同	要求MagicLevel4相同	要求MagicLevel5相同	要求MagicLevel6相同
技能物品	6	0	0	\spr\item\questkey\taskobj017.spr	9	1	1	技能呀技能呀		100	1	1	28	141	1	1	1	1		0	0	0	0	0	0	0	0	0	0
剑侠宝物箱	6	1	0	\spr\item\script\item_goldenbox.spr	367	2	2	传说中的宝箱，上面雕刻着神秘的花纹。使用后可以随机得到一样物品		2000	1	0	\script\item\baowubox.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
长命丸	6	0	1	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，生命上限增加500点。		50	1	0	0	256	1	1	0	1		0	0	0	0	0	0	0	0	0	0
加跑丸	6	0	2	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，移动速度加快20%。		50	1	0	0	257	1	1	0	1		0	0	0	0	0	0	0	0	0	0
大力丸	6	0	3	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，物力攻击增加100点。		50	1	0	0	258	1	1	0	1		0	0	0	0	0	0	0	0	0	0
高闪丸	6	0	4	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，闪避率提高500点。		50	1	0	0	259	1	1	0	1		0	0	0	0	0	0	0	0	0	0
高中丸	6	0	5	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，命中率提高500点。		50	1	0	0	260	1	1	0	1		0	0	0	0	0	0	0	0	0	0
飞速丸	6	0	6	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，攻击速度增加50。		50	1	0	0	261	1	1	0	1		0	0	0	0	0	0	0	0	0	0
冰防丸	6	0	7	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，冰防御提高50%。		50	1	0	0	262	1	1	0	1		0	0	0	0	0	0	0	0	0	0
雷防丸	6	0	8	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，雷防御提高50%。		50	1	0	0	263	1	1	0	1		0	0	0	0	0	0	0	0	0	0
火防丸	6	0	9	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，火防御提高50%。		50	1	0	0	264	1	1	0	1		0	0	0	0	0	0	0	0	0	0
