szName	nQuality	nItemGenre	nDetailType	nParticularType	nLevel	nSeries	nLuckly	nRate
翻羽	0	0	10	7	1	5	0	40
飞云	0	0	10	8	1	5	0	40000
大马虎之北京之梦	1	0	197	0	0	0	0	100
大马虎之雅典之魂	1	0	202	0	0	0	0	100
神秘矿石	0	6	1	398	1	0	0	50000
玄晶矿石[6级]	0	6	1	147	6	0	0	150000
玄晶矿石[7级]	0	6	1	147	7	0	0	223220
玄晶矿石[8级]	0	6	1	147	8	0	0	20000
八珍福月蜡烛	0	6	1	1817	1	0	0	300000
继业之白虎无双扣碎片(1/6)	0	4	1146	1	1	0	0	240
继业之白虎无双扣碎片(2/6)	0	4	1147	1	1	0	0	240
继业之白虎无双扣碎片(3/6)	0	4	1148	1	1	0	0	240
继业之白虎无双扣碎片(4/6)	0	4	1149	1	1	0	0	240
继业之白虎无双扣碎片(5/6)	0	4	1150	1	1	0	0	240
继业之白虎无双扣碎片(6/6)	0	4	1151	1	1	0	0	240
冥幻之腐骨护腕碎片(1/6)	0	4	1194	1	1	0	0	180
冥幻之腐骨护腕碎片(2/6)	0	4	1195	1	1	0	0	180
冥幻之腐骨护腕碎片(3/6)	0	4	1196	1	1	0	0	180
冥幻之腐骨护腕碎片(4/6)	0	4	1197	1	1	0	0	180
冥幻之腐骨护腕碎片(5/6)	0	4	1198	1	1	0	0	180
冥幻之腐骨护腕碎片(6/6)	0	4	1199	1	1	0	0	180
敌忾之狗脊皮护腕碎片(1/6)	0	4	1091	1	1	0	0	450
敌忾之狗脊皮护腕碎片(2/6)	0	4	1092	1	1	0	0	450
敌忾之狗脊皮护腕碎片(3/6)	0	4	1093	1	1	0	0	450
敌忾之狗脊皮护腕碎片(4/6)	0	4	1094	1	1	0	0	450
敌忾之狗脊皮护腕碎片(5/6)	0	4	1095	1	1	0	0	450
敌忾之狗脊皮护腕碎片(6/6)	0	4	1096	1	1	0	0	450
四空之护法腰带碎片(1/6)	0	4	1134	1	1	0	0	180
四空之护法腰带碎片(2/6)	0	4	1135	1	1	0	0	180
四空之护法腰带碎片(3/6)	0	4	1136	1	1	0	0	180
四空之护法腰带碎片(4/6)	0	4	1137	1	1	0	0	180
四空之护法腰带碎片(5/6)	0	4	1138	1	1	0	0	180
四空之护法腰带碎片(6/6)	0	4	1139	1	1	0	0	180
无间之拂云丝带碎片(1/6)	0	4	1158	1	1	0	0	360
无间之拂云丝带碎片(2/6)	0	4	1159	1	1	0	0	360
无间之拂云丝带碎片(3/6)	0	4	1160	1	1	0	0	360
无间之拂云丝带碎片(4/6)	0	4	1161	1	1	0	0	360
无间之拂云丝带碎片(5/6)	0	4	1162	1	1	0	0	360
无间之拂云丝带碎片(6/6)	0	4	1163	1	1	0	0	360
冰寒之心箭腰扣碎片(1/6)	0	4	1206	1	1	0	0	180
冰寒之心箭腰扣碎片(2/6)	0	4	1207	1	1	0	0	180
冰寒之心箭腰扣碎片(3/6)	0	4	1208	1	1	0	0	180
冰寒之心箭腰扣碎片(4/6)	0	4	1209	1	1	0	0	180
冰寒之心箭腰扣碎片(5/6)	0	4	1210	1	1	0	0	180
冰寒之心箭腰扣碎片(6/6)	0	4	1211	1	1	0	0	180
凌岳之怒雷法戒碎片(1/6)	0	4	1260	1	1	0	0	1200
凌岳之怒雷法戒碎片(2/6)	0	4	1261	1	1	0	0	1200
凌岳之怒雷法戒碎片(3/6)	0	4	1262	1	1	0	0	1200
凌岳之怒雷法戒碎片(4/6)	0	4	1263	1	1	0	0	1200
凌岳之怒雷法戒碎片(5/6)	0	4	1264	1	1	0	0	1200
凌岳之怒雷法戒碎片(6/6)	0	4	1265	1	1	0	0	1200
栖凰之风雪白云束带碎片(1/6)	0	4	1176	1	1	0	0	120
栖凰之风雪白云束带碎片(2/6)	0	4	1177	1	1	0	0	120
栖凰之风雪白云束带碎片(3/6)	0	4	1178	1	1	0	0	120
栖凰之风雪白云束带碎片(4/6)	0	4	1179	1	1	0	0	120
栖凰之风雪白云束带碎片(5/6)	0	4	1180	1	1	0	0	120
栖凰之风雪白云束带碎片(6/6)	0	4	1181	1	1	0	0	120
霜晶之清风缕带碎片(1/6)	0	4	1272	1	1	0	0	60
霜晶之清风缕带碎片(2/6)	0	4	1273	1	1	0	0	60
霜晶之清风缕带碎片(3/6)	0	4	1274	1	1	0	0	60
霜晶之清风缕带碎片(4/6)	0	4	1275	1	1	0	0	60
霜晶之清风缕带碎片(5/6)	0	4	1276	1	1	0	0	60
霜晶之清风缕带碎片(6/6)	0	4	1277	1	1	0	0	60
霜晶之清风缕带碎片(1/6)	0	4	1097	1	1	0	0	120
霜晶之清风缕带碎片(2/6)	0	4	1098	1	1	0	0	120
霜晶之清风缕带碎片(3/6)	0	4	1099	1	1	0	0	120
霜晶之清风缕带碎片(4/6)	0	4	1100	1	1	0	0	120
霜晶之清风缕带碎片(5/6)	0	4	1101	1	1	0	0	120
霜晶之清风缕带碎片(6/6)	0	4	1102	1	1	0	0	120
四空之降魔戒刀碎片(1/9)	0	4	585	1	1	0	0	1200
四空之降魔戒刀碎片(2/9)	0	4	586	1	1	0	0	1200
四空之降魔戒刀碎片(3/9)	0	4	587	1	1	0	0	1200
四空之降魔戒刀碎片(4/9)	0	4	588	1	1	0	0	1200
四空之降魔戒刀碎片(5/9)	0	4	589	1	1	0	0	1200
四空之降魔戒刀碎片(6/9)	0	4	590	1	1	0	0	1200
四空之降魔戒刀碎片(7/9)	0	4	591	1	1	0	0	1200
四空之降魔戒刀碎片(8/9)	0	4	592	1	1	0	0	1200
四空之降魔戒刀碎片(9/9)	0	4	593	1	1	0	0	1200
伏魔之紫金棍碎片(1/9)	0	4	576	1	1	0	0	900
伏魔之紫金棍碎片(2/9)	0	4	577	1	1	0	0	900
伏魔之紫金棍碎片(3/9)	0	4	578	1	1	0	0	900
伏魔之紫金棍碎片(4/9)	0	4	579	1	1	0	0	900
伏魔之紫金棍碎片(5/9)	0	4	580	1	1	0	0	900
伏魔之紫金棍碎片(6/9)	0	4	581	1	1	0	0	900
伏魔之紫金棍碎片(7/9)	0	4	582	1	1	0	0	900
伏魔之紫金棍碎片(8/9)	0	4	583	1	1	0	0	900
伏魔之紫金棍碎片(9/9)	0	4	584	1	1	0	0	900
撼天之金环大眼神锤碎片(1/9)	0	4	594	1	1	0	0	960
撼天之金环大眼神锤碎片(2/9)	0	4	595	1	1	0	0	960
撼天之金环大眼神锤碎片(3/9)	0	4	596	1	1	0	0	960
撼天之金环大眼神锤碎片(4/9)	0	4	597	1	1	0	0	960
撼天之金环大眼神锤碎片(5/9)	0	4	598	1	1	0	0	960
撼天之金环大眼神锤碎片(6/9)	0	4	599	1	1	0	0	960
撼天之金环大眼神锤碎片(7/9)	0	4	600	1	1	0	0	960
撼天之金环大眼神锤碎片(8/9)	0	4	601	1	1	0	0	960
撼天之金环大眼神锤碎片(9/9)	0	4	602	1	1	0	0	960
继业之奔雷钻龙枪碎片(1/9)	0	4	603	1	1	0	0	960
继业之奔雷钻龙枪碎片(2/9)	0	4	604	1	1	0	0	960
继业之奔雷钻龙枪碎片(3/9)	0	4	605	1	1	0	0	960
继业之奔雷钻龙枪碎片(4/9)	0	4	606	1	1	0	0	960
继业之奔雷钻龙枪碎片(5/9)	0	4	607	1	1	0	0	960
继业之奔雷钻龙枪碎片(6/9)	0	4	608	1	1	0	0	960
继业之奔雷钻龙枪碎片(7/9)	0	4	609	1	1	0	0	960
继业之奔雷钻龙枪碎片(8/9)	0	4	610	1	1	0	0	960
继业之奔雷钻龙枪碎片(9/9)	0	4	611	1	1	0	0	960
御龙之亮银宝刀碎片(1/9)	0	4	612	1	1	0	0	1200
御龙之亮银宝刀碎片(2/9)	0	4	613	1	1	0	0	1200
御龙之亮银宝刀碎片(3/9)	0	4	614	1	1	0	0	1200
御龙之亮银宝刀碎片(4/9)	0	4	615	1	1	0	0	1200
御龙之亮银宝刀碎片(5/9)	0	4	616	1	1	0	0	1200
御龙之亮银宝刀碎片(6/9)	0	4	617	1	1	0	0	1200
御龙之亮银宝刀碎片(7/9)	0	4	618	1	1	0	0	1200
御龙之亮银宝刀碎片(8/9)	0	4	619	1	1	0	0	1200
御龙之亮银宝刀碎片(9/9)	0	4	620	1	1	0	0	1200
幽胧之金蛇发带碎片(1/6)	0	4	825	1	1	0	0	1800
幽胧之金蛇发带碎片(2/6)	0	4	826	1	1	0	0	1800
幽胧之金蛇发带碎片(3/6)	0	4	827	1	1	0	0	1800
幽胧之金蛇发带碎片(4/6)	0	4	828	1	1	0	0	1800
幽胧之金蛇发带碎片(5/6)	0	4	829	1	1	0	0	1800
幽胧之金蛇发带碎片(6/6)	0	4	830	1	1	0	0	1800
冥幻之邪刹毒刃碎片(1/9)	0	4	648	1	1	0	0	1200
冥幻之邪刹毒刃碎片(2/9)	0	4	649	1	1	0	0	1200
冥幻之邪刹毒刃碎片(3/9)	0	4	650	1	1	0	0	1200
冥幻之邪刹毒刃碎片(4/9)	0	4	651	1	1	0	0	1200
冥幻之邪刹毒刃碎片(5/9)	0	4	652	1	1	0	0	1200
冥幻之邪刹毒刃碎片(6/9)	0	4	653	1	1	0	0	1200
冥幻之邪刹毒刃碎片(7/9)	0	4	654	1	1	0	0	1200
冥幻之邪刹毒刃碎片(8/9)	0	4	655	1	1	0	0	1200
冥幻之邪刹毒刃碎片(9/9)	0	4	656	1	1	0	0	1200
天光之花雨漫天碎片(1/9)	0	4	657	1	1	0	0	120
天光之花雨漫天碎片(2/9)	0	4	658	1	1	0	0	120
天光之花雨漫天碎片(3/9)	0	4	659	1	1	0	0	120
天光之花雨漫天碎片(4/9)	0	4	660	1	1	0	0	120
天光之花雨漫天碎片(5/9)	0	4	661	1	1	0	0	120
天光之花雨漫天碎片(6/9)	0	4	662	1	1	0	0	120
天光之花雨漫天碎片(7/9)	0	4	663	1	1	0	0	120
天光之花雨漫天碎片(8/9)	0	4	664	1	1	0	0	120
天光之花雨漫天碎片(9/9)	0	4	665	1	1	0	0	120
冰寒之弹指飞刀碎片(1/9)	0	4	980	1	1	0	0	1200
冰寒之弹指飞刀碎片(2/9)	0	4	981	1	1	0	0	1200
冰寒之弹指飞刀碎片(3/9)	0	4	982	1	1	0	0	1200
冰寒之弹指飞刀碎片(4/9)	0	4	983	1	1	0	0	1200
冰寒之弹指飞刀碎片(5/9)	0	4	984	1	1	0	0	1200
冰寒之弹指飞刀碎片(6/9)	0	4	985	1	1	0	0	1200
冰寒之弹指飞刀碎片(7/9)	0	4	986	1	1	0	0	1200
冰寒之弹指飞刀碎片(8/9)	0	4	987	1	1	0	0	1200
冰寒之弹指飞刀碎片(9/9)	0	4	988	1	1	0	0	1200
森荒之飞星夺魂碎片(1/9)	0	4	666	1	1	0	0	900
森荒之飞星夺魂碎片(2/9)	0	4	667	1	1	0	0	900
森荒之飞星夺魂碎片(3/9)	0	4	668	1	1	0	0	900
