Name	Quality	Genre	Detail	Particular	Level	GoodsFive	LimitTime	ItemRate	IsPublic
Name	Quality	Genre	Detail	Particular	Level	GoodsFive	LimitTime	ItemRate	IsPublic
[宋金]梦龙之金丝正红袈裟	1	221					72	3000	1
[宋金]伏魔之紫金棍	1	225					72	3000	1
[宋金]四空之降魔戒刀	1	230					72	3000	1
[宋金]撼天之金环大眼神锤	1	235					72	3000	1
[宋金]继业之奔雷钻龙枪	1	240					72	3000	1
[宋金]御龙之亮银宝刀	1	245					72	3000	1
[宋金]无间之倚天剑	1	250					72	3000	1
[宋金]无魇之洗象玉扣	1	258					72	3000	1
[宋金]无尘之清心向善珠	1	261					72	3000	1
[宋金]栖凰之凤仪刀	1	265					72	3000	1
[宋金]碧海之鸳鸯连环刀	1	270					72	3000	1
[宋金]幽胧之墨蛛软履	1	279					72	3000	1
[宋金]冥幻之邪刹毒刃	1	280					72	3000	1
[宋金]咒缚之灭雷颈符	1	286					72	3000	1
[宋金]冰寒之弹指飞刀	1	290					72	3000	1
[宋金]天光之花雨漫天	1	295					72	3000	1
[宋金]森荒之飞星夺魂	1	300					72	3000	1
[宋金]地魄之黑焰冲天链	1	306					72	3000	1
[宋金]同仇之降龙丐衣	1	311					72	3000	1
[宋金]敌忾之绿玉杖	1	315					72	3000	1
[宋金]魔煞之鬼谷幽冥枪	1	320					72	3000	1
[宋金]魔煌之金甲盔	1	325					72	3000	1
[宋金]魔嗜之山海飞鸿履	1	334					72	3000	1
[宋金]凌岳之无极玄玉佩	1	338					72	3000	1
[宋金]及丰之真武剑	1	340					72	3000	1
[宋金]霜晶之千年寒铁	1	345					72	3000	1
[宋金]雷穹之天地护符	1	351					72	3000	1
[宋金]雾幻之北冥道冠	1	355					72	3000	1
定国之青纱长衫	1	159						1000	1
定国之钨砂发冠	1	160						1000	1
定国之赤绢软靴	1	161						2000	0
定国之紫藤护腕	1	162						2000	0
定国之银蚕腰带	1	163						2000	0
安邦之冰晶石项链	1	164						1000	1
安邦之菊花石指环	1	165						1000	1
安邦之田黄石玉佩	1	166						1000	1
安邦之鸡血石戒指	1	167						1000	1
侠骨之铁血衫	1	186						1000	0
侠骨之情意结	1	189						1000	1
柔情之巾帼霓裳	1	190						100	1
柔情之慧心玉佩	1	193						1000	0
神秘矿石	0	6	1	398	1	0		1290	1
武林秘籍	0	6	1	26	1	0		2000	0
洗髓经	0	6	1	22	1	0		2000	0
紫水晶	0	4	239	1	1	0		40000	0
蓝水晶	0	4	238	1	1	0		40000	0
绿水晶	0	4	240	1	1	0		40000	0
猩红宝石	0	4	353	1	1	0		40000	0
玄晶矿石[10级]	0	6	1	147	10	0		10	1
玄晶矿石[9级]	0	6	1	147	9	0		100	1
玄晶矿石[8级]	0	6	1	147	8	0		1500	1
玄晶矿石[7级]	0	6	1	147	7	0		30000	0
技能大白驹丸礼包	0	6	1	970	10	0		20000	0
大白驹丸礼包	0	6	1	971	10	0		20000	0
易容面具-夏诚	0	0	11	260	1	0		24000	0
易容面具-苏词馨	0	0	11	261	1	0		24000	0
易容面具-唐天心	0	0	11	262	1	0		24000	0
易容面具-新年侠客	0	0	11	244	1	0		24000	0
易容面具-新年侠女	0	0	11	245	1	0		24000	0
易容面具-驯鹿	0	0	11	247	1	0		24000	0
易容面具-张宗正	0	0	11	139	1	0		24000	0
易容面具-妙如	0	0	11	140	1	0		24000	0
易容面具-柳青青	0	0	11	141	1	0		24000	0
易容面具-扇客	0	0	11	142	1	0		24000	0
易容面具-蓝伊伊	0	0	11	143	1	0		24000	0
易容面具-古柏	0	0	11	144	1	0		24000	0
易容面具-道清真人	0	0	11	145	1	0		24000	0
易容面具-耶律辟离	0	0	11	146	1	0		24000	0
易容面具-完颜雪衣	0	0	11	147	1	0		24000	0
易容面具-端木睿	0	0	11	148	1	0		24000	0
易容面具-钟灵秀	0	0	11	149	1	0		24000	0
易容面具-何怜飘	0	0	11	150	1	0		24000	0
易容面具-孟沧浪	0	0	11	151	1	0		24000	0
易容面具-王佐	0	0	11	208	1	0		24000	0
易容面具-玄觉大师	0	0	11	209	1	0		24000	0
易容面具-唐不染	0	0	11	210	1	0		20000	0
易容面具-白莹莹	0	0	11	211	1	0		20000	0
易容面具-清绝师太	0	0	11	212	1	0		20000	0
易容面具-嫣晓倩	0	0	11	213	1	0		20000	0
易容面具-何人我	0	0	11	214	1	0		20000	0
易容面具-单思南	0	0	11	215	1	0		20000	0
易容面具-璇玑子	0	0	11	216	1	0		20000	0
易容面具-韩蒙	0	0	11	217	1	0		20000	0
