Name	PhysicalDamageBase	PhysicalMagic	PoisonDamageBase	PoisonMagic	ColdDamageBase	ColdMagic	FireDamageBase	FireMagic	LightingDamageBase	LightingMagic	AuraSkillName	AuraSkillLevel	PasstSkillName	PasstSkillLevel
张宗正	0|0	0	0|0	1	0|0	1	0|0	1	0|1000	1	七星阵	0|30	冰眩免疫	0|60
玄空	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	罗汉阵	1|-40	梯云纵	1|-40
妙如	0|535	0	0|0	1	0|3100	1	0|0	1	0|0	1	流水	0|20	冰冻免疫	0|60
李元庆	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	七星阵	1|-40	梯云纵	1|-40
彭连恩	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	七星阵	1|-40	梯云纵	1|-40
曹盟	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	罗汉阵	1|-40	梯云纵	1|-40
曹真	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	七星阵	1|-40	梯云纵	1|-40
曹爽	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	七星阵	1|-40	梯云纵	1|-40
曹谦	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	七星阵	1|-40	梯云纵	1|-40
曹力	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	七星阵	1|-40	梯云纵	1|-40
施青	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	七星阵	1|-40	梯云纵	1|-40
唐风	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	七星阵	1|-40	梯云纵	1|-40
柳青青	0|330	2	0|30	1	0|0	1	0|0	1	0|0	1	青木功	0|30	中毒免疫	0|60
投石车	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0		0|0	所有状态免疫	0|1
攻城冲车	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0		0|0	所有状态免疫	0|1
攻城战完整城门	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0		0|0	所有状态免疫	0|1
攻城战破损城门	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0		0|0	所有状态免疫	0|1
擂鼓士兵	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0	增加抗性光环	0|1	所有状态免疫	0|1
摇旗士兵	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0	生命内力双补光环	0|20	所有状态免疫	0|1
攻城攻方完整龙柱	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0		0|0	所有状态免疫	0|1
攻城攻方破损龙柱	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0		0|0	所有状态免疫	0|1
攻城守方完整龙柱	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0		0|0	所有状态免疫	0|1
攻城守方破损龙柱	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0		0|0	所有状态免疫	0|1
daoqingzhenren	0|590	0	0|0	0	0|0	0	0|0	0	0|3100	1	梯云纵	0|20	冰眩免疫	0|60
yelvbili	0|1881	0	0|0	0	0|0	0	0|1000	1	0|0	0	五行阵	0|20	冰眩免疫	0|60
wanyanxueyi	0|330	0	0|0	0	0|0	0	0|3300	2	0|0	0	五行阵	0|20	冰眩免疫	0|60
duanmurui	0|1441	0	0|0	0	0|0	0	0|3500	1	0|0	0	五行阵	0|20	冰眩免疫	0|60
gubo	0|451	0	0|0	0	0|0	0	0|0	0	0|0	0	五行阵	0|20	冰眩免疫	0|60
zhonglingxiu	0|865	0	0|0	0	0|4900	1	0|0	0	0|0	0	流水	0|20	冰眩免疫	0|60
helianpiao	0|641	0	0|0	0	0|3700	1	0|0	0	0|0	0	流水	0|20	冰眩免疫	0|60
lanyiyi	0|500	0	0|550	1	0|0	0	0|0	0	0|0	0	流水	0|20	冰眩免疫	0|60
mengcanglang	0|743	0	0|0	0	0|0	0	0|3700	1	0|0	0	流水	0|20	冰眩免疫	0|60
