名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1	魔法属性索引2	魔法属性索引3	魔法属性索引4	魔法属性索引5	魔法属性索引6	所在套装
梦龙之正黄僧帽	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	黄金装备	1	99999	10	0	30	360	360	31	85	85																36	90	32	160	39	0							2	171	46	311	6	155	1
梦龙之金丝正红袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	黄金装备	2	99999	10	0	30	720	720	31	90	90																36	99	32	260	39	0							2	40	170	307	6	324	1
梦龙之玄丝法带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	黄金装备	0	99999	10	0	30	160	160	31	80	80																36	95	32	135	39	0							418	309	172	311	416	417	1
梦龙之佛法玄佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备	4	99999	10	0																						36	80	39	0									129	130					1
梦龙之达摩僧鞋	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	黄金装备	3	99999	10	0	30	160	160	31	80	80																36	85	32	135	39	0							2	104	6	311			1
伏魔之紫金棍	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	黄金装备	0	99999	10	0	28	69	69	29	128	128	167	-10	-10	31	99	99										36	99	32	180	39	0							48	43	52	71	113	155	2
伏魔之玄黄袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-2.spr	22	2	3	黄金装备	4	99999	10	0	30	720	720	31	90	90																36	90	32	260	39	0							2	306	175	307			2
伏魔之乌金软绦	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	黄金装备	3	99999	10	0	30	160	160	31	80	80																36	85	32	135	39	0							418	309	177	311	416	417	2
伏魔之佛心软扣	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	黄金装备	1	99999	10	0																						36	80	39	0									129	130					2
伏魔之普渡僧鞋	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备	2	99999	10	0	30	160	160	31	80	80																36	95	32	135	39	0							2	325	320	88	6	437	2
四空之降魔戒刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备	0	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	0							2	43	48	71	113	155	3
四空之紫金袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	黄金装备	4	99999	10	0	30	720	720	31	90	90																36	90	32	260	39	0							2	306	178	317			3
四空之护法腰带	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	黄金装备	3	99999	10	0	30	160	160	31	80	80																36	85	32	135	39	0							2	309	177	311	416	425	3
四空之软皮护腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	黄金装备	1	99999	10	0	30	135	135	31	80	80																36	95	32	110	39	0							2	417	326	311	6	179	3
四空之戒律法戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备	2	99999	10	0																						36	80	39	0									129	130					3
撼天之金环大眼神锤	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	黄金装备	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	99	32	235	39	1							135	50	46	69	110	73	4
撼天之武神镶金甲	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	黄金装备	0	99999	10	0	30	720	720	31	90	90																36	90	32	260	39	1							2	306	180	311			4
撼天之威武束腰环	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	黄金装备	4	99999	10	0	30	160	160	31	80	80																36	95	32	135	39	1							2	309	191	311	416	156	4
