NAME	GENRE	INDEX	VALUE
梦龙之正黄僧帽	0	1	700000000
梦龙之金丝正红袈裟	0	2	1200000000
梦龙之玄丝法带	0	3	1500000000
梦龙之佛法玄佩	0	4	400000
梦龙之达摩僧鞋	0	5	1000000000
伏魔之紫金棍	0	6	800000000
伏魔之玄黄袈裟	0	7	700000
伏魔之乌金软绦	0	8	1200000000
伏魔之佛心软扣	0	9	900000
伏魔之普渡僧鞋	0	10	1200000000
四空之降魔戒刀	0	11	2400000000
四空之紫金袈裟	0	12	120000
四空之护法腰带	0	13	1800000000
四空之软皮护腕	0	14	1800000000
四空之戒律法戒	0	15	150000
撼天之金环大眼神锤	0	16	6000000000
撼天之武神镶金甲	0	17	170000
撼天之威武束腰环	0	18	2400000000
撼天之虎头紧束腕	0	19	190000
撼天之乘龙战靴	0	20	2000000000
继业之奔雷钻龙枪	0	21	6000000000
继业之玄武黄金铠	0	22	2000000000
继业之白虎无双扣	0	23	2000000000
继业之火云麒麟手	0	24	240000
继业之朱雀凌云靴	0	25	250000
御龙之亮银宝刀	0	26	1500000000
御龙之战神挂坠	0	27	2000000000
御龙之天门束腰环	0	28	1500000000
御龙之迅风护腕	0	29	290000
御龙之绝命指环	0	30	300000
无间之倚天剑	0	31	2000000000
无间之清风缁衣	0	32	320000
无间之拂云丝带	0	33	1800000000
无间之琴韵护腕	0	34	1800000000
无间之白玉般指	0	35	350000
无魇之摩尼冠	0	36	1800000000
无魇之紫襟袈裟	0	37	370000
无魇之冰晶指环	0	38	380000
无魇之洗象玉扣	0	39	700000000
无魇之红缁软禢鞋	0	40	1800000000
无尘之玉女素心冠	0	41	1200000000
无尘之清心向善珠	0	42	800000000
无尘之慈悲玉般指	0	43	430000
无尘之佛心慈佑腰配	0	44	440000
无尘之佛光指环	0	45	1500000000
栖凰之凤仪刀	0	46	2400000000
栖凰之慧心轻纱衣	0	47	470000
栖凰之风雪白云束带	0	48	1800000000
栖凰之冰踪锦腕	0	49	1800000000
栖凰之翠玉指环	0	50	500000
碧海之鸳鸯连环刀	0	51	800000000
碧海之环珠雨链	0	52	520000
碧海之红铃金丝带	0	53	1000000000
碧海之红铃波	0	54	800000000
碧海之纤细指环	0	55	550000
幽胧之金蛇发带	0	56	600000000
幽胧之赤蝎秘装	0	57	570000
幽胧之青蜈缠腰	0	58	1500000000
幽胧之银蟾护手	0	59	590000
幽胧之墨蛛软履	0	60	800000000
冥幻之邪刹毒刃	0	61	1500000000
冥幻之幽蛊暗衣	0	62	1000000000
冥幻之毒蝎指环	0	63	630000
冥幻之腐骨护腕	0	64	1500000000
冥幻之双环蛇鞋	0	65	650000
咒缚之破甲头环	0	66	1000000000
咒缚之灭雷颈符	0	67	800000000
咒缚之幽幻指环	0	68	680000
咒缚之穿心毒腕	0	69	800000000
咒缚之冰火蚀骨靴	0	70	700000
冰寒之弹指飞刀	0	71	1500000000
冰寒之玄衣束甲	0	72	1000000000
冰寒之心箭腰扣	0	73	1500000000
冰寒之玄天冰火佩	0	74	740000
冰寒之月影靴	0	75	750000
天光之花雨漫天	0	76	1800000000
天光之定心凝神符	0	77	1500000000
天光之森罗束腰	0	78	1500000000
天光之风暴寒铁镯	0	79	790000
天光之束天缚地环	0	80	800000
森荒之飞星夺魂	0	81	1200000000
森荒之金钱连环甲	0	82	820000
森荒之魂咬腰束	0	83	1500000000
森荒之玄铁镶玉佩	0	84	840000
森荒之星陨飞履	0	85	1200000000
地魄之五行连环冠	0	86	1000000000
地魄之黑焰冲天链	0	87	800000000
地魄之霹雳雷火戒	0	88	880000
地魄之扣心镯	0	89	1000000000
地魄之地行千里靴	0	90	900000
同仇之飞龙头环	0	91	910000
同仇之降龙丐衣	0	92	1500000000
同仇之潜龙腰带	0	93	1500000000
同仇之亢龙护手	0	94	1200000000
同仇之见龙扳指	0	95	950000
敌忾之绿玉杖	0	96	3500000000
敌忾之九袋丐衣	0	97	970000
敌忾之缠莽腰带	0	98	1800000000
敌忾之狗脊皮护腕	0	99	1200000000
敌忾之草间石戒	0	100	1000000
魔煞之鬼谷幽冥枪	0	101	2000000000
魔煞之残阳映血甲	0	102	1200000000
魔煞之赤骥锁腰扣	0	103	1500000000
魔煞之举火燎天腕	0	104	1040000
魔煞之云龙吐珠戒	0	105	1050000
魔煌之金甲盔	0	106	1200000000
魔煌之按出虎项圈	0	107	800000000
魔煌之溪谷束腰带	0	108	1000000000
魔煌之血衣兽镯	0	109	1090000
魔煌之蹬踏靴	0	110	1100000
魔嗜之烈焰冠冕	0	111	1500000000
魔嗜之厉魔噬心链	0	112	1120000
魔嗜之业火幽冥戒	0	113	1130000
魔嗜之血玉七杀佩	0	114	1000000000
魔嗜之山海飞鸿履	0	115	500000000
凌岳之太极剑	0	116	1500000000
凌岳之无我道袍	0	117	1170000
凌岳之怒雷法戒	0	118	1500000000
凌岳之无极玄玉佩	0	119	1800000000
凌岳之天地玄黄戒	0	120	1200000
及丰之真武剑	0	121	6000000000
及丰之三清符	0	122	2000000000
及丰之玄丝三段锦	0	123	1500000000
及丰之翠玉玄黄佩	0	124	1240000
及丰之青松法戒	0	125	1250000
霜晶之千年寒铁	0	126	1500000000
霜晶之傲霜道袍	0	127	1270000
霜晶之清风缕带	0	128	1500000000
霜晶之天清冰晶手	0	129	1800000000
霜晶之风暴指环	0	130	1300000
雷穹之寒松冰柏冠	0	131	900000000
雷穹之天地护符	0	132	800000000
雷穹之风雷青锦带	0	133	1500000000
雷穹之灵玉蕴雷	0	134	1340000
雷穹之九天引雷戒	0	135	1350000
雾幻之北冥道冠	0	136	400000000
雾幻之羁绊符咒	0	137	1370000
雾幻之束心指环	0	138	1380000
雾幻之清影玄玉佩	0	139	800000000
雾幻之松风雪影靴	0	140	1200000000
雅典之魂	0	141	1410000
北京之梦	0	142	1420000
洞察之白金雕龙戒	0	143	1430000
洞察之白玉乾坤佩	0	144	800000000
洞察之白金锈凤戒	0	145	1500000000
洞察之翡翠玉项圈	0	146	1500000000
定业头冠	0	147	1470000
定业战袍	0	148	1480000
定业腰带	0	149	1490000
定业护腕	0	150	1500000
定业战靴	0	151	1510000
定业扳指	0	152	1520000
定国头冠	0	153	1530000
定国战袍	0	154	1540000
定国腰箍	0	155	1550000
定国护腕	0	156	1560000
定国战靴	0	157	1570000
定国扳指	0	158	1580000
定国之青纱长衫	0	159	200000000
定国之钨砂发冠	0	160	300000000
定国之赤绢软靴	0	161	80000000
定国之紫藤护腕	0	162	100000000
定国之银蚕腰带	0	163	80000000
安邦之冰晶石项链	0	164	350000000
安邦之菊花石指环	0	165	250000000
安邦之田黄石玉佩	0	166	250000000
安邦之鸡血石戒指	0	167	250000000
天煌龙器之龙抬头	0	168	1680000
天煌龙器之白龙息	0	169	1690000
天煌龙器之镇冥之链	0	170	1700000
天煌龙器之九现之指	0	171	1710000
天煌龙器之玉逍遥	0	172	1720000
天煌龙器之黄金鳞	0	173	1730000
天煌龙器之磐龙瑰	0	174	1740000
天煌龙器之龙哭千里	0	175	1750000
天煌龙器之怒龙之瞳	0	176	1760000
金枫之青阳盔	0	177	1770000
金枫之麒麟血	0	178	1780000
金枫之濯之链光	0	179	1790000
金枫之公谨三叹	0	180	1800000
金枫之夺魂玉带	0	181	1810000
金枫之后羿引弓	0	182	1820000
金枫之兰亭玉	0	183	1830000
金枫之千里草上飞	0	184	1840000
金枫之铜雀春深	0	185	1850000
侠骨之铁血衫	0	186	1860000
侠骨之多情环	0	187	1870000
侠骨之丹心戒	0	188	1880000
侠骨之情意结	0	189	1890000
柔情之巾帼霓裳	0	190	1900000
柔情之淑女项链	0	191	1910000
柔情之凤仪戒指	0	192	1920000
