名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值
易容面具-落光	0	11	0	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		54	54													31	10	10															
易容面具-银牙	0	11	1	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		56	56													31	10	10															
易容面具-霜刀	0	11	2	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		57	57													31	10	10															
易容面具-冷弓	0	11	3	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		59	59													31	10	10															
易容面具-寒枪	0	11	4	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		63	63													31	10	10															
易容面具-奔雷	0	11	5	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		94	94													31	10	10															
易容面具-独步	0	11	6	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		109	109													31	10	10															
易容面具-降锤	0	11	7	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		113	113													31	10	10															
易容面具-赤掌	0	11	8	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		134	134													31	10	10															
易容面具-狼棒	0	11	9	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		157	157													31	10	10															
易容面具-张宗正	0	11	10	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		511	511													31	10	10															
易容面具-妙如	0	11	11	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		513	513													31	10	10															
易容面具-柳青青	0	11	12	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		523	523													31	10	10															
易容面具-扇客	0	11	13	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		602	602													31	10	10															
易容面具-蓝伊伊	0	11	14	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		582	582													31	10	10															
易容面具-古柏	0	11	15	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		566	566													31	10	10															
易容面具-道清真人	0	11	16	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		562	562													31	10	10															
易容面具-耶律辟离	0	11	17	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		563	563													31	10	10															
易容面具-完颜雪衣	0	11	18	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		564	564													31	10	10															
易容面具-端木睿	0	11	19	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		565	565													31	10	10															
易容面具-钟灵秀	0	11	20	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		567	567													31	10	10															
易容面具-何怜飘	0	11	21	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		568	568													31	10	10															
易容面具-孟沧浪	0	11	22	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		583	583													31	10	10															
易容面具-东北虎	0	11	23	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		0	0													31	1	1															
易容面具-华南虎	0	11	24	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		1	1													31	1	1															
易容面具-白虎	0	11	25	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		2	2													31	1	1															
易容面具-金钱豹	0	11	26	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		3	3													31	1	1															
易容面具-雪豹	0	11	27	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		4	4													31	1	1															
易容面具-灰狼	0	11	28	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		5	5													31	1	1															
易容面具-火狼	0	11	29	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		6	6													31	1	1															
易容面具-青狼	0	11	30	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		7	7													31	1	1															
易容面具-雪狼	0	11	31	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		8	8													31	1	1															
易容面具-狐狸	0	11	32	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		9	9													31	1	1															
易容面具-红狐	0	11	33	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		10	10													31	1	1															
易容面具-野猪	0	11	34	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		11	11													31	1	1															
易容面具-刺猬	0	11	35	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		12	12													31	1	1															
易容面具-亚洲象	0	11	36	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		13	13													31	1	1															
易容面具-黄河象	0	11	37	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		14	14													31	1	1															
易容面具-棕熊	0	11	38	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		15	15													31	1	1															
易容面具-黑熊	0	11	39	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		16	16													31	1	1															
易容面具-野牛	0	11	40	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		17	17													31	1	1															
易容面具-扬子鳄	0	11	41	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		18	18													31	1	1															
易容面具-火蜥蜴	0	11	42	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		19	19													31	1	1															
易容面具-眼镜蟒蛇	0	11	43	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		20	20													31	1	1															
易容面具-绿色蟒蛇	0	11	44	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		21	21													31	1	1															
易容面具-金环蟒蛇	0	11	45	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		22	22													31	1	1															
易容面具-赤练蟒蛇	0	11	46	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		23	23													31	1	1															
易容面具-金雕	0	11	47	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		26	26													31	1	1															
易容面具-苍鹰	0	11	48	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		25	25													31	1	1															
易容面具-秃鹫	0	11	49	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		24	24													31	1	1															
