Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1(0¼¶)	Ä§·¨ÊôÐÔË÷Òý1(10¼¶)	Ä§·¨ÊôÐÔË÷Òý2(0¼¶)	Ä§·¨ÊôÐÔË÷Òý2(10¼¶)	Ä§·¨ÊôÐÔË÷Òý3(0¼¶)	Ä§·¨ÊôÐÔË÷Òý3(10¼¶)	Ä§·¨ÊôÐÔË÷Òý4(0¼¶)	Ä§·¨ÊôÐÔË÷Òý4(10¼¶)	Ä§·¨ÊôÐÔË÷Òý5(0¼¶)	Ä§·¨ÊôÐÔË÷Òý5(10¼¶)	Ä§·¨ÊôÐÔË÷Òý6(0¼¶)	Ä§·¨ÊôÐÔË÷Òý6(10¼¶)	ËùÔÚÌ××°	6¼¶¼¼ÄÜID	10¼¶¼¼ÄÜID	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2
[Thiªn Tø] Méng Long ChÝnh Hång T¨ng M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	Trang bÞ B¹ch Kim	1	49999	10	0	30	360	360	31	85	85																36	120	32	160	39	0							2	616	171	171	46	591	311	598	599	601	155	155	1	768	798				
[Thiªn Tø] Méng Long Kim Ti ChÝnh Hång Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	Trang bÞ B¹ch Kim	2	49999	10	0	30	720	720	31	90	90																36	120	32	260	39	0							2	616	40	675	170	170	307	637	6	609	324	324	1	846	851				
[Thiªn Tø] Méng Long HuyÒn Ti Ph¸t §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bÞ B¹ch Kim	0	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							418	4	309	639	172	172	311	598	416	641	417	31	1	775	807				
[Thiªn Tø] Méng Long PhËt Ph¸p HuyÒn Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bÞ B¹ch Kim	4	49999	10	0																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			1	879	878				
[Thiªn Tø] Méng Long Tö Kim Bµn Nh­îc Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ B¹ch Kim	0	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	2	104	104	6	6	311	311					1						
[Thiªn Tø] Phôc Ma Tö Kim C«n	0	0	2	\spr\item\equip\closeweapon\obj-staff15.spr	11	1	4	Trang bÞ B¹ch Kim	0	49999	10	0	28	69	69	29	128	128	167	-10	-10	31	99	99										36	120	32	180	39	0							48	592	43	43	52	625	71	594	113	595	155	155	2	766	767				
[Thiªn Tø] Phôc Ma V« L­îng Kim C­¬ng UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bÞ B¹ch Kim	1	49999	10	0	30	720	720	31	90	90																36	120	32	260	39	0							2	2	306	306	175	175	307	307					2						
[Thiªn Tø] Phôc Ma ¤ Kim NhuyÔn §iÒu	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	Trang bÞ B¹ch Kim	3	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							418	4	309	639	177	177	311	598	416	641	417	31	2	776	808				
[Thiªn Tø] Phôc Ma PhËt T©m NhuyÔn KhÊu	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bÞ B¹ch Kim	1	49999	10	0																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			2	881	880				
[Thiªn Tø] Phôc Ma Phæ §é T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ B¹ch Kim	2	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	616	325	325	320	588	88	419	6	609	437	309	2	848	852				
[Thiªn Tø] Tø Kh«ng Gi¸ng Ma Giíi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Trang bÞ B¹ch Kim	0	49999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	0							2	616	43	43	48	592	71	593	113	595	155	155	3	766	767				
[Thiªn Tø] Tø Kh«ng §¹t Ma T¨ng Hµi	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ B¹ch Kim	2	49999	10	0	30	720	720	31	90	90																36	120	32	260	39	0							2	2	306	306	178	178	317	317					3						
[Thiªn Tø] Tø Kh«ng Hé Ph¸p Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	Trang bÞ B¹ch Kim	3	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	616	309	639	177	177	311	598	416	641	425	643	3	777	809				
[Thiªn Tø] Tø Kh«ng NhuyÔn B× Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ B¹ch Kim	1	49999	10	0	30	135	135	31	80	80																36	120	32	110	39	0							2	616	417	31	326	326	311	598	6	609	179	179	3	849	853				
[Thiªn Tø] Tø Kh«ng Giíi LuËt Ph¸p Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ B¹ch Kim	2	49999	10	0																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			3	883	882				
[Thiªn Tø] H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha05.spr	13	2	2	Trang bÞ B¹ch Kim	2	49999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	120	32	235	39	1							135	135	50	599	46	592	69	593	110	111	73	73	4	766	767				
[Thiªn Tø] H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bÞ B¹ch Kim	0	49999	10	0	30	720	720	31	90	90																36	120	32	260	39	1							2	2	306	306	180	180	311	311					4						
[Thiªn Tø] H¸m Thiªn Uy Vò Thóc Yªu Hoµn	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Trang bÞ B¹ch Kim	4	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	309	639	191	191	311	598	416	641	156	156	4	779	811				
[Thiªn Tø] H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ B¹ch Kim	3	49999	10	0	30	135	135	31	80	80																36	120	32	110	39	1							129	129	130	130	747	739	748	740	741	749			4	879	878				
[Thiªn Tø] H¸m Thiªn Thõa Long ChiÕn Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ B¹ch Kim	1	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	320	588	192	192	419	638	319	678	190	190	4	846	855				
[Thiªn Tø] KÕ NghiÖp B«n L«i Toµn Long Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear05.spr	12	1	4	Trang bÞ B¹ch Kim	2	49999	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	120	32	165	33	165	39	1					57	620	51	625	46	592	69	593	110	111	73	73	5	766	767				
[Thiªn Tø] KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bÞ B¹ch Kim	0	49999	10	0	30	720	720	31	90	90																36	120	32	260	39	1							2	616	40	675	185	185	79	311	685	319	686	686	5	848	854				
[Thiªn Tø] KÕ NghiÖp B¹ch Hæ V« Song KhÊu	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	Trang bÞ B¹ch Kim	4	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	309	639	188	188	311	598	416	641	156	156	5	778	810				
[Thiªn Tø] KÕ  NghiÖp Háa V©n Kú L©n Thñ	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bÞ B¹ch Kim	3	49999	10	0	30	135	135	31	80	80																36	120	32	110	39	1							129	129	130	130	747	739	748	740	741	749			5	881	880				
[Thiªn Tø] KÕ NghiÖp Chu T­íc L¨ng V©n Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ B¹ch Kim	1	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	2	104	104	189	189	311	311	319	319	186	186	5						
[Thiªn Tø] Ngù Long L­îng Ng©n B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Trang bÞ B¹ch Kim	2	49999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	1							57	620	52	625	46	592	69	593	110	111	73	73	6	766	767				
[Thiªn Tø] Ngù Long ChiÕn ThÇn Phi Qu¸i Gi¸p	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ B¹ch Kim	0	49999	10	0																						36	120	39	1									2	616	438	88	79	311	107	107	280	280	711	687	6	849	856				
[Thiªn Tø] Ngù Long Thiªn M«n Thóc Yªu Hoµn	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Trang bÞ B¹ch Kim	4	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	309	639	182	182	311	598	416	641	156	156	6	780	812				
[Thiªn Tø] Ngù Long TÊn Phong Hé YÓn	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	28	2	2	Trang bÞ B¹ch Kim	2	49999	10	0	30	135	135	31	80	80																36	120	32	110	39	1							2	2	327	327	183	183	311	311	319	319	181	181	6						
[Thiªn Tø] Ngù Long TuyÖt MÖnh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ B¹ch Kim	1	49999	10	0																						36	120	39	1									129	129	130	130	747	739	748	740	741	749			6	883	882				
[Thiªn Tø] V« Gian û Thiªn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	Trang bÞ B¹ch Kim	0	49999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	120	32	110	39	4							2	616	43	43	48	592	71	593	113	595	157	157	7	766	767				
[Thiªn Tø] V« Gian Thanh Phong NhuyÔn Lý	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	Trang bÞ B¹ch Kim	2	49999	10	0	30	720	720	31	90	90																36	120	32	260	39	4							2	2	306	306	193	193	317	317					7						
[Thiªn Tø] V« Gian PhËt V©n Ti §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Trang bÞ B¹ch Kim	3	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	4							418	4	309	639	196	196	307	637	6	609	425	643	7	786	818				
[Thiªn Tø] V« Gian CÇm VËn Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	Trang bÞ B¹ch Kim	1	49999	10	0	30	135	135	31	80	80																36	120	32	110	39	4							2	616	329	329	439	682	307	637	6	609	328	328	7	846	862				
[Thiªn Tø] V« Gian B¹ch Ngäc Bµn ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ B¹ch Kim	2	49999	10	0																						36	120	39	4									129	129	130	130	747	739	748	740	743	751			7	879	878				
[Thiªn Tø] V« Ma Ma Ni Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ B¹ch Kim	2	49999	10	0	30	315	315	31	85	85																36	120	32	110	39	4							2	616	307	637	420	640	309	639	6	609	427	628	8	787	819				
[Thiªn Tø] V« Ma Thu Thñy L­u Quang §¸i	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	Trang bÞ B¹ch Kim	4	49999	10	0	30	630	630	31	90	90																36	120	32	135	39	4							2	2	306	306	6	6	317	317					8						
[Thiªn Tø] V« Ma B¨ng Tinh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ B¹ch Kim	4	49999	10	0	31	80	80																			36	120	39	4									129	129	130	130	747	739	748	740	743	751			8	881	880				
[Thiªn Tø] V« Ma TÈy T­îng Ngäc KhÊu	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bÞ B¹ch Kim	1	49999	10	0	31	60	60																			36	120	39	4									146	632	304	304	57	621	322	313	198	198	200	200	8	769	801				
[Thiªn Tø] V« Ma Hång Truy NhuyÔn Th¸p Hµi	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	Trang bÞ B¹ch Kim	1	49999	10	0	30	140	140	31	80	80																36	120	32	110	39	4							146	717	320	588	199	199	88	419	8	612	330	330	8	848	863				
[Thiªn Tø] V« TrÇn Ngäc N÷ Tè T©m Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ B¹ch Kim	3	49999	10	0	30	315	315	31	85	85																36	120	32	110	39	4							418	418	309	309	197	197	312	312	421	421	420	420	9						
[Thiªn Tø] V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Trang bÞ B¹ch Kim	1	49999	10	0																						36	120	39	4									2	2	88	88	331	331	95	95	8	8	107	107	9						
[Thiªn Tø] V« TrÇn Tõ Bi Ngäc Ban ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ B¹ch Kim	2	49999	10	0																						36	120	39	4									129	129	130	130	747	739	748	740	743	751			9	883	882				
[Thiªn Tø] V« TrÇn PhËt T©m Tõ H÷u Yªu Phèi	0	9	0	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bÞ B¹ch Kim	1	49999	10	0																						36	120	39	4									4	4	158	158	6	6	332	332					9						
[Thiªn Tø] V« TrÇn PhËt Quang ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ B¹ch Kim	1	49999	10	0	31	80	80																			36	120	39	4									2	2	419	419	6	6	203	203	417	417	115	115	9						
[Thiªn Tø] Tª Hoµng Phông Nghi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Trang bÞ B¹ch Kim	0	49999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	5							2	616	43	43	48	592	71	593	113	595	159	159	10	766	767				
[Thiªn Tø] Tª Hoµng TuÖ T©m Khinh Sa Y	0	9	0	\spr\item\equip\waist\obj-waist06.spr	36	1	2	Trang bÞ B¹ch Kim	1	49999	10	0	30	720	720	31	90	90																36	120	32	260	39	5							2	2	306	306	207	207	317	317					10						
