Name	ItemGenre	DetailType	ParticularType	Descript
黄金图谱-梦龙之正黄僧帽	6	1	239	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>秘银矿：增加外功系普攻伤害百分比7级以上<enter>芙蓉石：增加火防最大值8级以上<enter>朱砂矿：增加内力最大值7级以上<enter>少林拳法·卷一
黄金图谱-梦龙之金丝正红袈裟	6	1	240	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>秘银矿：增加内力最大值点数7级以上<enter>玄铁矿：减少受伤动作时间7级以上<enter>芙蓉石：增加普防最大值6级以上<enter>少林拳法·卷一
黄金图谱-梦龙之玄丝法带	6	1	241	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间7级以上<enter>芙蓉石：增加火防最大值7级以上<enter>芙蓉石：减少中毒时间8级以上<enter>钟乳石：减少眩晕时间8级以上<enter>少林拳法·卷一
黄金图谱-梦龙之佛法玄佩	6	1	242	。
黄金图谱-梦龙之紫金般若戒	6	1	243	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>秘银矿：增加内力最大值点数8级以上<enter>孔雀石：增加普防最大值8级以上<enter>芙蓉石：减少迟缓时间8级以上<enter>少林拳法·卷一
黄金图谱-伏魔之紫金棍	6	1	244	所需材料<color=yellow><enter>玄铁矿：增加外功系普攻伤害百分比8级以上<enter>秘银矿：增加攻击命中率点数7级以上<enter>朱砂矿：命中吸取其内力百分比6级以上<enter>玄铁矿：增加外攻系武功出招动作8级以上<enter>芙蓉石：增加外功系普攻伤害点数7级以上<enter>武林秘籍
黄金图谱-伏魔之无量金刚腕	6	1	245	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>秘银矿：增加内力最大值点数8级以上<enter>孔雀石：增加普防最大值8级以上<enter>芙蓉石：减少眩晕时间8级以上<enter>少林棍法·卷二
黄金图谱-伏魔之乌金软绦	6	1	246	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：增加火防最大值7级以上<enter>芙蓉石：减少中毒时间7级以上<enter>钟乳石：减少眩晕时间8级以上<enter>少林棍法·卷二
黄金图谱-伏魔之佛心软扣	6	1	247	。
黄金图谱-伏魔之普渡僧鞋	6	1	248	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>秘银矿：增加移动速度8级以上<enter>芙蓉石：增加雷防最大值7级以上<enter>朱砂矿：增加内力最大值6级以上<enter>钟乳石：减少迟缓时间6级以上
黄金图谱-四空之降魔戒刀	6	1	249	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>秘银矿：增加外功系普攻伤害百分比7级以上<enter>朱砂矿：命中吸取其内力百分比6级以上<enter>玄铁矿：增加外攻系武功出招动作8级以上<enter>芙蓉石：增加外功系普攻伤害点数7级以上<enter>武林秘籍
黄金图谱-四空之达摩僧鞋	6	1	250	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>秘银矿：增加移动速度8级以上<enter>芙蓉石：增加普防最大值8级以上<enter>朱砂矿：增加内力最大值8级以上<enter>少林刀法·卷三
黄金图谱-四空之护法腰带	6	1	251	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>武林秘籍<enter>芙蓉石：增加火防最大值7级以上<enter>芙蓉石：减少中毒时间8级以上<enter>少林刀法·卷三
黄金图谱-四空之软皮护腕	6	1	252	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少眩晕时间7级以上<enter>武林秘籍<enter>芙蓉石：增加火防最大值8级以上<enter>朱砂矿：增加内力最大值7级以上<enter>少林刀法·卷三
黄金图谱-四空之戒律法戒	6	1	253	。
黄金图谱-撼天之金环大眼神锤	6	1	254	所需材料<color=yellow><enter>孔雀石：增加外功点数6级以上<enter>秘银矿：增加外功系普攻伤害百分比8级以上<enter>朱砂矿：命中吸取其生命百分比6级以上<enter>武林秘籍<enter>芙蓉石：增加外功系普攻伤害点数8级以上<enter>钟乳石：增加外功系冰攻伤害点数8级以上
黄金图谱-撼天之武神镶金甲	6	1	255	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>玄铁矿：减少受伤动作时间8级以上<enter>芙蓉石：增加火防最大值8级以上<enter>芙蓉石：增加力量点数8级以上<enter>天王锤法·卷一
黄金图谱-撼天之威武束腰环	6	1	256	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>武林秘籍<enter>芙蓉石：增加火防最大值7级以上<enter>芙蓉石：减少中毒时间8级以上<enter>天王锤法·卷一
黄金图谱-撼天之虎头紧束腕	6	1	257	。
黄金图谱-撼天之乘龙战靴	6	1	258	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>玄铁矿：增加移动速度8级以上<enter>芙蓉石：增加雷防最大值6级以上<enter>钟乳石：增加身法点数6级以上<enter>天王锤法·卷一
黄金图谱-继业之奔雷钻龙枪	6	1	259	所需材料<color=yellow><enter>孔雀石：增加外功点数6级以上<enter>秘银矿：增加外功系普攻伤害百分比8级以上<enter>朱砂矿：命中吸取其生命百分比6级以上<enter>武林秘籍<enter>芙蓉石：增加外功系普攻伤害点数8级以上<enter>钟乳石：增加外功系冰攻伤害点数8级以上
黄金图谱-继业之玄武黄金铠	6	1	260	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>天王枪法·卷二<enter>玄铁矿：减少受伤动作时间8级以上<enter>芙蓉石：增加普防最大值8级以上
黄金图谱-继业之白虎无双扣	6	1	261	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>武林秘籍<enter>芙蓉石：增加火防最大值7级以上<enter>芙蓉石：减少中毒时间8级以上<enter>天王枪法·卷二
黄金图谱-继业之火云麒麟手	6	1	262	。
黄金图谱-继业之朱雀凌云靴	6	1	263	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>玄铁矿：增加移动速度8级以上<enter>芙蓉石：增加雷防最大值8级以上<enter>朱砂矿：增加内力最大值8级以上<enter>天王枪法·卷二
黄金图谱-御龙之亮银宝刀	6	1	264	所需材料<color=yellow><enter>孔雀石：增加外功点数5级以上<enter>秘银矿：增加外功系普攻伤害百分比8级以上<enter>朱砂矿：命中吸取其生命百分比6级以上<enter>武林秘籍<enter>芙蓉石：增加外功系普攻伤害点数8级以上<enter>钟乳石：增加外功系冰攻伤害点数8级以上
黄金图谱-御龙之战神挂坠	6	1	265	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：增加雷防最大值7级以上<enter>孔雀石：增加火防最大值8级以上<enter>秘银矿：增加所有抗性7级以上<enter>天王刀法·卷三
黄金图谱-御龙之天门束腰环	6	1	266	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>武林秘籍<enter>芙蓉石：增加火防最大值7级以上<enter>芙蓉石：减少中毒时间8级以上<enter>天王刀法·卷三
黄金图谱-御龙之迅风发箍	6	1	267	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>孔雀石：增加火防最大值8级以上<enter>芙蓉石：减少眩晕时间8级以上<enter>芙蓉石：增加身法点数8级以上<enter>天王刀法·卷三
黄金图谱-御龙之绝命指环	6	1	268	。
黄金图谱-无间之倚天剑	6	1	269	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>秘银矿：增加外功系普攻伤害百分比7级以上<enter>朱砂矿：命中吸取其内力百分比6级以上<enter>玄铁矿：增加外攻系武功出招动作8级以上<enter>芙蓉石：增加外功系普攻伤害点数7级以上<enter>武林秘籍
黄金图谱-无间之清风软屐	6	1	270	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>朱砂矿：增加内力最大值点数8级以上<enter>玄铁矿：增加移动速度8级以上<enter>芙蓉石：增加毒防最大值8级以上<enter>灭剑秘籍
黄金图谱-无间之拂云丝带	6	1	271	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>武林秘籍<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>灭剑秘籍
黄金图谱-无间之琴韵护腕	6	1	272	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>灭剑秘籍<enter>芙蓉石：减少迟缓时间时间8级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值7级以上<enter>武林秘籍
黄金图谱-无间之白玉般指	6	1	273	。
黄金图谱-无魇之摩尼冠	6	1	274	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：增加普防最大值7级以上<enter>芙蓉石：减少中毒时间8级以上<enter>芙蓉石：减少迟缓时间8级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>芙蓉石：增加内功系冰攻伤害点数8级以上
黄金图谱-无魇之秋水流光带	6	1	275	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：增加冰防最大值8级以上<enter>芙蓉石：减少迟缓时间8级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>钟乳石：增加内功系冰攻伤害点数8级以上<enter>峨嵋佛光掌秘籍
黄金图谱-无魇之冰晶指环	6	1	276	。
黄金图谱-无魇之洗象玉扣	6	1	277	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数6级以上<enter>芙蓉石：增加外功点数6级以上<enter>峨嵋佛光掌秘籍<enter>孔雀石：增加内功系冰攻伤害点数8级以上<enter>武林秘籍
黄金图谱-无魇之红缁软禢鞋	6	1	278	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>朱砂矿：增加内力最大值点数8级以上<enter>玄铁矿：增加移动速度8级以上<enter>芙蓉石：增加雷防最大值7级以上<enter>峨嵋佛光掌秘籍
黄金图谱-无尘之玉女素心冠	6	1	279	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：增加冰防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>芙蓉石：减少中毒时间7级以上<enter>普渡秘籍
黄金图谱-无尘之清心向善珠	6	1	280	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>普渡秘籍<enter>朱砂矿：增加内力最大值点数8级以上<enter>孔雀石：增加雷防最大值8级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加所有抗性7级以上
黄金图谱-无尘之慈悲玉般指	6	1	281	。
黄金图谱-无尘之静影流苏	6	1	282	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>芙蓉石：增加雷防最大值8级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>芙蓉石：减少中毒时间8级以上<enter>普渡秘籍
黄金图谱-无尘之佛光指环	6	1	283	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：增加雷防最大值7级以上<enter>秘银矿：增加内力最大值点数8级以上<enter>峨嵋佛光掌秘籍<enter>钟乳石：减少眩晕时间6级以上<enter>芙蓉石：伤害转化为内力百分比（木属性）6级以上
黄金图谱-栖凰之凤仪刀	6	1	284	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>秘银矿：增加外功系普攻伤害百分比7级以上<enter>朱砂矿：命中吸取其内力百分比6级以上<enter>玄铁矿：增加外攻系武功出招动作8级以上<enter>芙蓉石：增加外功系普攻伤害点数7级以上<enter>武林秘籍
黄金图谱-栖凰之慧心长生扣	6	1	285	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>孔雀石：减少眩晕时间8级以上<enter>芙蓉石：增加雷防最大值8级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>翠烟刀法
黄金图谱-栖凰之风雪白云束带	6	1	286	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>武林秘籍<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>翠烟刀法
黄金图谱-栖凰之冰踪锦腕	6	1	287	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>翠烟刀法<enter>芙蓉石：减少迟缓时间7级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值7级以上<enter>武林秘籍
黄金图谱-栖凰之翠玉指环	6	1	288	。
黄金图谱-碧海之鸳鸯连环刀	6	1	289	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>翠烟双刀<enter>朱砂矿：增加内力最大值点数8级以上<enter>芙蓉石：增加内功系冰攻伤害点数8级以上<enter>武林秘籍
