ITEM_TYPE	GENRE	DETAIL	PARTICULAR	NAME
Ch?ng lo1i v?t phèm	Lo1i lín	Ph?n lo1i	Lo1i nhá 	Tan
PK	1	5	0	长命丸
PK	1	5	0	加跑丸
PK	1	5	0	大力丸
PK	1	5	0	高闪丸
PK	1	5	0	高中丸
PK	1	6	0	飞速丸
PK	1	6	0	冰防丸
PK	1	6	0	雷防丸
PK	1	6	0	火防丸
PK	1	6	0	毒防丸
PK	6	0	1	长命丸
PK	6	0	2	加跑丸
PK	6	0	3	大力丸
PK	6	0	4	高闪丸
PK	6	0	5	高中丸
PK	6	0	6	飞速丸
PK	6	0	7	冰防丸
PK	6	0	8	雷防丸
PK	6	0	9	火防丸
PK	6	0	10	毒防丸
PK	6	0	60	板栗粽子
PK	6	0	61	猪肉粽子
PK	6	0	62	牛肉粽子
PK	6	1	63	什锦粽子
PK	6	1	73	百果露
PK	6	1	115	嫣红丹
PK	6	1	116	姹蓝丹
PK	6	1	117	内普丸
PK	6	1	118	内毒丸
PK	6	1	119	内冰丸
PK	6	1	120	内火丸
PK	6	1	121	内电丸
PK	6	1	218	攻速丸
PK	6	1	219	跑速丸
PK	6	1	220	普防丸
PK	6	1	221	毒防丸
PK	6	1	222	冰防丸
PK	6	1	223	火防丸
PK	6	1	224	雷防丸
PK	6	1	225	减伤丸
PK	6	1	226	减晕丸
PK	6	1	227	减毒丸
PK	6	1	228	减冰丸
PK	6	1	229	普攻丸
PK	6	1	230	毒攻丸
PK	6	1	231	冰攻丸
PK	6	1	232	火攻丸
PK	6	1	233	雷攻丸
PK	6	1	234	长命丸
PK	6	1	235	长内丸
PK	6	1	885	信使木腰牌
PK	6	1	886	信使铜腰牌
PK	6	1	887	信使银腰牌
PK	6	1	888	信使金腰牌
PK	6	1	889	御赐信使腰牌
PK	6	1	1024	绿豆春饼
PK	6	1	1106	无双杀阵
PK	6	1	1110	参罐

PKEX	6	1	2837	还魂丹
PKEX	6	1	2831	消飘散
PKEX	6	1	2830	还魂丹礼包

LEAGUE	6	1	2952	攻击助力丸
LEAGUE	6	1	2953	阴阳活血丹

CITYWAR	6	1	29	浑石裂
CITYWAR	6	1	30	孽龙冲车
CITYWAR	6	1	31	云旗兵符
CITYWAR	6	1	32	鼋鼓兵符

SONGJIN	6	1	156	战鼓
SONGJIN	6	1	157	令牌
