TaskID	TaskName	TaskInfo
1	陈樵	他叫陈樵，据说剑冢里的每棵树都是他种的，所以他最无法忍受别人破坏他的树。看到角落那四棵树了吗？那不是普通的树，里面隐藏着机关，你们必须有四个人同时开启四棵树才能启动机关把陈樵引出来。想过关的话，那你们就必须打败他。
2	开启柱子	要把房间里的所有柱子都开启成功才能过关，在开启之前必须打败柱子周围的钰龙高手，而且他们只能由五行克他们的侠士打最后一击才不会重生。
3	雪灵珠	采集10个雪灵珠，点击其中任意一个能召唤出钰龙护法冷冰，击败冷冰后你们就可以过关了。
4	五彩龙蛛	10秒之后你会看到一只巨大的彩色蜘蛛，要将它击败才能过关。战斗过程中如果你发现有人被蛛丝缠住，务必尽快把蛛丝打掉，因为蛛丝剧毒无比，时间长了被蛛丝缠住的人会中毒身亡。
5	好多宝箱！	当你看到房间里出现很多宝箱，千万别高兴太早，谁知道箱子里有什么呢。不过如果你想过关的话就把所有宝箱都开了，并把引来的所有钰龙弟子都击败。
6	危险地带	在这里你会遇到钰龙护法古绝杀，你要击败他才能过关。古绝杀手下有一支死士队伍，他们是不死之身，而且能对附近的人造成致命的伤害。所以当你遇到他们时要远远避开，同时尽快将古绝杀击败。
7	蛇王	这条巨大的蛇也不知道是钰龙山庄里谁养的宠物，据说是条千年蛇王，你们要将蛇王击败才能过关。战斗时最好先把地上的蛇卵打掉，否则每过一段时间会出现小蛇，虽然小蛇攻击不高，但是会浪费你们很多时间。
8	冷冰	在这里你会遇到钰龙护法冷冰，没啥可说的，击败她就能过关。
9	路彪	路彪，人如其名，非常彪悍，而且人还比较野蛮。他可能会对你提出各种无理的要求，如果你没法满足他的要求或者不愿意满足他的要求，那就动手打败他吧。打败他就能过关了。
10	守护柱子	你们现在要做的事就是保护好房间里的柱子在5分钟内不要被钰龙弟子打掉，当每有一个柱子被打掉你就会失去两个同伴。
11	最红的花	破碗儿表面上是个很可爱的小姑娘，但是你们可千万不要被她天真无邪的外表所蒙骗了。当她把她的伙伴们叫出来要揍你们一顿的时候，你们也千万别客气，因为只有打败他们才能过关。
12	十八铜人	要按照金木水火土的顺序开启那五尊佛像才可以召唤出钰龙山庄的十八铜人，击败他们就能见到他们的老大，把这位武艺高超的铜人老大打败后就可以过关了。
