类型	Exp	Life	LifeReplenish	AttackRating	Defense	MinDamage	MaxDamage	Treasure	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	SkillName	SkillLevel	FireResist	FireResistMax	ColdResist	ColdResistMax	LightingResist	LightingResistMax	PoisonResist	PoisonResistMax	PhycicsResist	PhycicsResistMax	AiMode	AiParam1	AiParam2	AiParam3	AiParam4	AiParam5	AiParam6	AiParam7	AiParam8	AiParam9	AiParam10	AiMaxTime	PhysicalDamageBase	PhysicalMagicBase	PoisonDamageBase	PoisonMagicBase	ColdDamageBase	ColdMagicBase	FireDamageBase	FireMagicBase	LightingDamageBase	LightingMagicBase
有钱的	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
顽强的	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
九头鸟的	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
快速的	100	200	20	200	150	100	100	16	4	4	2	2			50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
凶残的	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
轻灵的	100	200	20	200	150	100	100	16	2	2	0	0			50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
金的	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	100	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
木的	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	100	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
火的	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	50	100	100	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
水的	100	200	20	200	150	100	100	16	0	0	0	0			100	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
土的	100	200	20	200	150	100	100	16	0	0	0	0			50	100	100	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
领袖的	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
通用低	1000	2000	200	150	200	200	200	9	1	1	0	0			100	95	100	95	100	95	100	95	100	95	2	80	25	15	100	25	25	25	20	50		6	100	100	100	100	100	100	100	100	100	100
通用中	1000	2000	200	150	200	200	200	9	1	1	0	0			150	95	150	95	150	95	150	95	150	95	2	80	25	15	100	25	25	25	20	50		6	100	100	100	100	100	100	100	100	100	100
通用高	1000	2000	200	150	200	200	200	16	1	1	0	0			200	95	200	95	200	95	200	95	200	95	2	80	25	15	100	25	25	25	20	50		6	100	100	100	100	100	100	100	100	100	100
打宝	100	1000	100	150	200	150	150	4	1	1	0	0	免疫光环	60	75	95	75	95	75	95	75	95	75	95	2	80	25	15	100	25	25	25	20	50		6	100	100	100	100	100	100	100	100	100	100
