等级	经验	组队人数	直属率领人数	任命权个数
1	100	3	0	0
2	1000	3	0	0
3	2500	3	0	0
4	5000	3	0	0
5	5000	3	0	0
6	20000	4	0	0
7	20000	4	0	0
8	20000	4	0	0
9	20000	4	0	0
10	20000	4	0	0
11	20000	4	7	0
12	20000	5	7	0
13	20000	5	7	0
14	20000	5	7	0
15	20000	5	7	0
16	20000	5	7	0
17	20000	5	7	0
18	20000	5	7	0
19	20000	6	7	0
20	20000	6	7	0
21	20000	6	15	0
22	20000	6	15	0
23	20000	6	15	0
24	20000	6	15	0
25	20000	6	15	0
26	20000	6	15	0
27	20000	7	15	0
28	20000	7	15	0
29	20000	7	15	0
30	20000	7	15	0
31	20000	7	23	0
32	20000	7	23	0
33	20000	7	23	0
34	20000	7	23	0
35	20000	7	23	0
36	20000	7	23	0
37	20000	7	23	0
38	20000	7	23	0
39	20000	7	23	0
40	20000	7	23	0
41	20000	7	31	1
42	20000	7	31	1
43	20000	7	31	1
44	20000	7	31	1
45	20000	7	31	2
46	20000	7	31	2
47	20000	7	31	2
48	20000	7	31	2
49	20000	7	31	2
50	20000	7	31	2
51	20000	7	39	3
52	20000	7	39	3
53	20000	7	39	3
54	20000	7	39	3
55	20000	7	39	3
56	20000	7	39	3
57	20000	7	39	4
58	20000	7	39	4
59	20000	7	39	4
60	20000	7	39	4
61	20000	7	47	4
62	20000	7	47	4
63	20000	7	47	4
64	20000	7	47	5
65	20000	7	47	5
66	20000	7	47	5
67	20000	7	47	5
68	20000	7	47	5
69	20000	7	47	5
70	20000	7	47	5
71	40000	7	55	5
72	40000	7	55	6
73	40000	7	55	6
74	40000	7	55	6
75	40000	7	55	6
76	40000	7	55	6
77	40000	7	55	6
78	40000	7	55	6
79	40000	7	55	6
80	40000	7	55	6
81	40000	7	63	7
82	40000	7	66	7
83	40000	7	71	7
84	40000	7	79	7
85	40000	7	89	7
86	40000	7	101	7
87	40000	7	116	7
88	40000	7	133	7
89	40000	7	152	7
90	40000	7	174	7
91	40000	7	198	7
92	40000	7	224	7
93	40000	7	253	7
94	40000	7	284	7
95	40000	7	318	7
96	40000	7	354	7
97	40000	7	392	7
98	40000	7	433	7
99	3321291100	7	476	7
100	4139977600	7	511	7
