MAGICID	MAGICNAME	FACTIONID	LEVEL1	LEVEL2	LEVEL3	LEVEL4	LEVEL5	LEVEL6	LEVEL7	LEVEL8	LEVEL9	LEVEL10	LEVEL11	LEVEL12	LEVEL13	LEVEL14	LEVEL15	LEVEL16	LEVEL17	LEVEL18	LEVEL19	LEVEL20
318	达摩渡江	0	6312	7258	8493	10109	12237	15062	18847	23969	30977	40673	54248	61535	68625	75227	81040	85777	89182	91059	91287	89830
319	横扫千军	0	7605	8745	10233	12180	14744	18148	22708	28879	37323	49005	65360	74140	82683	90637	97641	132702	107451	109713	109987	108232
321	无相斩	0	5700	6554	7669	9129	11051	13602	17020	21645	27973	36729	48988	55568	61971	67933	73183	77460	80535	82230	82436	81121
709	大乘如来咒	0	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181	
322	破天斩	1	9100	11375	14218	17773	22216	27770	34713	43392	54240	67800	84750	105937	132422	165528	206910	258637	323296	404121	505151	631439
323	追星逐月	1	16375	20468	25585	31982	39978	49972	62465	78082	97602	122003	152504	190630	238287	297859	372324	465405	581756	727196	908995	1136243
325	追风诀	1	9687	12109	15136	18920	23651	29563	36954	46193	57741	72177	90221	112777	140971	176214	220268	275335	344169	430211	537764	672205
708	倒虚天	1	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181
339	慑魂月影	2	6000	6900	8073	9609	11632	14318	17915	22784	29446	38663	51566	58493	65233	71509	77035	81537	84774	86558	86775	85390
302	暴雨梨花	2	6130	7049	8248	9817	11884	14628	18304	23278	30084	39500	105367	119521	133293	146116	157408	166607	173221	176868	280760	174481
342	九宫飞星	2	11700	13455	15743	18738	22683	27920	34936	44430	57420	75393	100554	114062	127204	139442	150218	158997	165309	168789	169211	166511
710	迷影纵	2	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181
353	阴风蚀骨	3	8850	10177	11908	14174	17158	21119	26425	33607	43433	57028	76060	86277	96219	105475	113626	120267	125041	127674	127993	125951
355	玄阴斩	3	7500	8625	10091	12012	14540	17897	22394	28481	36807	48328	64458	73116	81541	89386	96293	101921	105967	108198	108468	106738
711	吸星魇	3	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181
328	三峨霁雪	4	7500	8625	10091	12012	14540	17897	22394	28481	36807	48328	64458	73116	81541	89386	96293	101921	105967	108198	108468	106738
380	风霜碎影	4	9390	10798	12635	15039	18205	22407	28038	35658	46083	60507	80701	91542	102090	111911	120559	127605	132671	135464	135803	133636
712	闭月拂尘	4	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181
336	冰踪无影	5	4000	4600	5382	6406	11632	14318	17915	22784	29446	51550	68755	77991	86977	95345	154070	163074	169548	173117	173550	227708
337	冰心仙子	5	6500	7474	8746	10410	12602	15511	19408	24683	31900	41885	55863	63367	70669	77468	83454	88331	91838	93771	94006	92506
713	御雪隐	5	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181
359	天下无狗	6	3500	4024	4709	5605	6785	8352	10450	13291	17176	22553	30080	34121	38052	83427	89874	95126	148354	151477	151856	149433
357	飞龙在天	6	4300	4945	5786	6886	8336	20522	25679	32658	42206	55417	73912	83840	93501	102496	165625	175304	182264	186101	186566	244786
714	混天气功	6	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181
361	云龙击	7	5800	6669	7804	9289	11244	13840	17318	22025	28464	37374	49847	56543	63058	69125	74467	78819	81948	83673	83882	82544
362	天外流星	7	6127	7046	8245	9813	11879	14622	18296	23269	30071	39484	52662	59736	66619	73028	78672	83269	86575	88398	88619	87205
715	魔音噬魄	7	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181
365	天地无极	8	14700	16904	19780	23543	28500	35079	43893	55823	72143	94724	126338	143309	159821	175197	188736	199766	207696	212068	289250	284635
368	人剑合一	8	10800	12420	14532	17297	20938	25772	32248	41012	53003	69593	92819	105288	117419	128716	138663	146766	152593	155805	156195	153703
716	出淤不染	8	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181
375	雷动九天	9	21320	24517	28688	34146	41334	50877	63661	80962	104632	137383	183233	207846	231795	254095	273731	289728	301230	307572	308340	303421
372	傲雪啸风	9	17150	19722	23077	27467	33250	40925	51209	65127	84167	110512	147394	167193	186458	204396	220192	233060	242312	247413	248032	244074
717	两仪真气	9	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181	
1055	大力金刚掌	0	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000
1056	韦陀献杵	0	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000	
1057	叁戒归禅	0	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000
1058	豪雄斩	1	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000
1059	纵横八荒	1	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000
1060	霸王錾金	1	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000
1066	形销骨立	3	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000
1067	幽魂噬影	3	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000
1069	无影穿	2	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000
1070	铁莲四杀	2	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000
1071	乾坤一掷	2	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000
1061	剑花挽晶	4	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000
1062	冰雨珞晶	4	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000
1114	玉泉心经	4	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000
1063	冰雀越枝	5	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000	
1065	水映曼秀	5	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000	
1073	时乘六龙	6	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000
1074	棒迥掠地	6	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000
1075	江海怒澜	7	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21700	21000
