Id	Title	Time	EVENT_MOVE	EVENT_ATTACK	EVENT_SITE	EVENT_RIDE	EVENT_USEITEM	EVENT_ARRANGEITEM	EVENT_DROPITEM	EVENT_CHANGEEQUIP	EVENT_TRADE	EVENT_CHANGEFIGHTSTATE	EVENT_ATTACKED	EVENT_DEATH	EVENT_REVIVE	EVENT_BUYITEM	EVENT_SELLITEM	EVENT_TALK	comment
1	采集中...	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	辉煌之果
2	采集中...	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	黄金之果
3	采集中...	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	辉煌之果
4	拾取中...	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	粽子箱
5	打开中...	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	开药
6	打水中...	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2011年植树节打水
7	采集中...	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2011年7月活动
8	打开中...	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	炎帝宝藏打开秘宝
9	治疗中...	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	150级技能丐帮任务
10	领悟中...	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	150级技能熟练度
11	打开中...	6	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	天之宝箱
12	打开中...	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	混元灵露包
13	拾取中...	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3秒拾取
14	食用中...	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2012中秋国庆活动食用神奇的月饼
15	腌制中...	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2012年11月活动灶台读条腌制腊肉
16	点火中...	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013年元宵活动点灯笼
17	扫墓祭酒...	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013年元宵活动点灯笼
18	上香中...	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013年元宵活动点灯笼
19	垂钓中...	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013年五月活动
20	烤鱼中...	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013年五月活动
21	祭奠先贤...	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013年端午活动
22	拿取凉茶...	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013年端午活动
