ID	STRING
10001	*********APPEND 2004/7-15/1:8************
10002	GM Command List
10003	3
10004	礼天赐：好日子啊好日子，特别大礼派送喽，特制烟花只要5000两还附送西域火鸡腿一个！
10005	礼天赐：这是您的份，收好喽！
10006	礼天赐：特别派送货品，恕不打折。
10007	来来来，摇骰子啦！这位客宫要不要玩两吧呀，碰碰手气？
10008	骰子游戏是摇三个骰子的游戏，每一局让你分别摇三个骰子。每一局，都要交一定的银两作为注金。
10009	如果能够摇成2个骰子点数一样（对），或者3个骰子点数全相同（刻），或者从小到大排列的顺子的话，就算你赢了。
10010	不同的赢牌面可以获得不同的奖励。如果输了，你交的银两就会积累到世界奖金中。
10011	如果你摇到了（刻）的话，除了本身的奖金外，你还可以提取世界奖金作为额外奖励！
10012	获得世界奖金的具体数量是根据你投的注金和牌的点数决定。祝你好运！
10013	野叟：你的声望实在是太低了，这次我帮你加上一些，以后你自己也要注意积累人望，在江湖中闯荡没有人望支援是会事倍功半。
10014	野叟：美丽的姑娘，今天是你的节日，送你两朵鲜花，祝你节日快乐。
10015	野叟：庆祝剑侠情缘网络版登录海外！来，大家都一起庆祝一下。
10016	野叟：欢迎参加剑侠情缘网络版的新手推广活动，作为鼓励，我们先送你20000两白银帮助你更快入门。
10017	野叟：在你到20级的时候，我会再送你一匹座骑，好好努力吧！
10018	野叟：很好，我现在把答应过你的座骑给你，另外再送你一只黄金宝箱。祝你在剑侠情缘网络版中快乐地游戏。
10019	野叟：欢迎参加剑侠情缘网络版的新手推广活动，作为鼓励，我们先送你5000两白银帮助你更快入门。
10020	野叟：你的技能点似乎有点小错误，我已帮你修复好了，等一下你会看到自动重新连线的提示不必紧张。
10021	野叟：你的帮会数据出现了错误，现在系统已将你脱离了帮会。
10022	野叟：你的数据有些错误，现在我将你回复自由身。
10023	野叟：初出江湖，你可知道应该从何处开始吗？
10024	玩家：还请老丈指点。
10025	野叟：指点是谈不上，不过村子里有些人正需要帮助，你可以尝试着去帮帮他们。
10026	野叟：并且也可以到村外练习一下武艺，对你的提高是会很有帮助的。你的等级也会因为坚持练习而不断提高。
10027	野叟：在你因为战斗得到经验并且升级时，你可以得到5点潜能和1个技能点。如何分配它们会影响到你将来的特长和能力，你可以问问有经验的大侠。
10028	野叟：一个好汉三个帮，所以与朋友一起成长是最方便快捷的途径。
10029	野叟：为了自己的理想，好好加油吧。努力闯出一片自己的天空来。
10030	野叟：我要说的就是这些了，去开始你的江湖生涯吧。
10031	玩家：是，多谢老丈。
10032	野叟：记住：江湖不是完美的，里面也有腥风血雨，也有杀人狂魔和背经叛道之人。但是你永远都能找到知心的朋友，有成功和失败、汗水和欢笑、快乐和痛苦。这才是江湖最吸引人之处。
10033	野叟：送你一只黄金宝箱，并预祝你在剑侠情缘世界中快乐如意。
10034	野叟：送你一颗水晶，祝你在剑侠的世界中快乐地游戏，不要浪费了哦。
10035	野叟：送你一颗猩红宝石，祝你在剑侠的世界中快乐地游戏，不要浪费了哦。
10036	野叟：这是你的披风，请拿好了。
10037	野叟：这是你的般若心经，请拿好了。
10038	野叟：金山掌门人托我把这些礼物送给你。老朽不敢有负所托。
10039	野叟：金山掌门人托我送些礼物给你，但是礼物却没有给我，不知道怎么回事。要不你直接去问问他？
10040	野叟：你可以从两种礼物中选择：想要一颗水晶，还是一颗猩红宝石？
10041	野叟：你现在取出礼物的话可以得到一颗猩红宝石，现在就取出吗？
10042	野叟：这是你的水晶，请拿好了。
10043	野叟：这是你的猩红宝石，请拿好了。
10044	野叟：送你一件披风，你可以把它缝在衣服上。
10045	野叟：金山掌门人托我把这些礼物送给你。老朽不敢有负所托。
10046	野叟：金山掌门人托我送些礼物给你，但是礼物却没有给我，不知道怎么回事。要不你直接去问问他？
10047	野叟：金山掌门人托我把这些礼物送给你。老朽不敢有负所托。
10048	野叟：金山掌门人托我把这些礼物送给你。老朽不敢有负所托。
10049	野叟：金山掌门人托我送些礼物给你，但是礼物却没有给我，不知道怎么回事。要不你直接去问问他？
10050	野叟：有人告诉我说你在第二次华山论剑中得到了奖品，但是却没有把奖品到我手上，不知道是怎么一回事情。你去找天神申诉一下吧。
10051	野叟：恭喜你在第二次华山论剑中取得好成绩，这里是你的奖品。希望你不要骄傲，再接再厉再创佳绩。
10052	野叟：终于等到你来了，有人托我带了一大包东西给你，你先整理一下背包，腾出点空间来放这些东西。
10053	野叟：那人不愿与你相见，只托我把东西交给你。
10054	野叟：那人不愿与你相见，只托我把东西交给你。
10055	野叟：你不知道么？对不起，看来我是认错人了。
10056	野叟：你总算来了，我已经等你很久了。这1000两银子是某人托我送给你的。
10057	玩家：某人？那是谁呀？
10058	野叟：我也不知道他是谁，他还托我传一句话：“希望你在江湖生涯中能找到属于自己的快乐。”
10059	野叟：你不知道么？对不起，看来我是认错人了。
10060	野叟：你的努力我都看在眼里，深为你的成长进步而欣慰。继续好好加油吧！
10061	技能更新已经完成，请注意重新为各个技能分配技能点。
10062	沈驹：千里马常有，而伯乐不常有。徒呼！奈何！
10063	沈驹：英雄请看：
10064	沈驹：一帮之主，宗师人物怎会不识如此宝马良驹？抱歉，看来在下是认错人了。
10065	沈驹：不错，英雄果然识得！在下本也舍不得就此卖了它，但是现下急需300万两银子，看英雄是真伯乐，忍痛割爱，望英雄千万好生善待于它。
10066	沈驹：马儿呀马儿，今后你就跟随这位英雄了，一定要乖乖的呀。
10067	玩家：我现在身上银两带得不够，你且稍待。
10068	沈驹：唉，当真要一文钱难倒英雄汉吗？
10069	对不起，我只能把您送到您曾经去过的地方，您现如今哪儿都还没去过呢！
10070	请选择：
10071	对不起，您现如今哪儿都没去呢！
10072	船夫：你想去什么地方呀：
10073	不好意思，没钱可坐不了车
10074	对不起，我只能把您送到您曾经去过的地方，您现如今哪儿都还没去过呢！
10075	请选择想去的地方：
10076	不好意思，没钱可坐不了车，您还是走去吧！
10077	不好意思，没钱可坐不了车，您还是走去吧！
10078	不好意思，没钱可坐不了车，您还是走去吧！
10079	攻城战场乃是非之地、刀剑无情，若不是来参战,义士还请以生命为重，请回吧！
10080	义士身份不符，请恕在下不敢冒险相送,义士还是请回吧!
10081	义士身份不符，请恕在下不敢冒险相送,义士还是请回吧!
10082	现在攻城修练战开始了，你要参加吗？
10083	车夫：外边可乱得很，象你这般弱不禁风，出了村闹出人命我可担不起。
10084	车夫：有了钱再来坐车吧。
10085	钱庄老板：对了这位少侠要些什么服务？
10086	钱庄老板：对了这位姑娘要些什么服务？
