Name	Quality	Genre	Detail	Particular	GoodsFive	Level	Magiclevel	TaskValue
九天云游丹	0	6	1	2379	0	1	0	1500000000
玉罐	0	6	1	2311	0	1	0	1200000000
四海逍遥丹	0	6	1	2378	0	1	0	500000000
五洲凌空丹	0	6	1	2397	0	1	0	500000000
乌云踏雪	0	10	5	0	2	6	0	500000000
赤兔	0	10	5	0	3	7	0	500000000
绝影	0	10	5	0	1	8	0	500000000
的卢	0	10	5	0	4	9	0	300000000
照夜玉狮子	0	10	5	0	0	10	0	300000000
[仿制的]鸿影之红袖招	1	433	0	0	0	1	0	300000000
[仿制的]鸿影之沈园晚醉	1	430	0	0	0	1	0	240000000
[仿制的]鸿影之剑挂西方	1	431	0	0	0	1	0	200000000
[仿制的]鸿影之苜蓿相忘	1	432	0	0	0	1	0	200000000
武林秘籍	0	6	1	26	0	1	0	80000000
洗髓经	0	6	1	22	0	1	0	60000000
黄金之果	0	6	1	907	0	1	0	15000000
高级辉煌之果	0	6	1	906	0	1	0	15000000
中级辉煌之果	0	6	1	905	0	1	0	15000000
低级辉煌之果	0	6	1	904	0	1	0	15000000
六级玄晶矿石	0	6	1	147	0	6	0	11314000
般若心经	0	6	1	12	0	1	0	10000000
铁罗汉	0	6	1	23	0	1	0	8000000
紫水晶	0	4	239	1	0	1	0	8000000
兰水晶	0	4	238	1	0	1	0	8000000
绿水晶	0	4	240	1	0	1	0	8000000
猩红宝石	0	4	353	1	0	1	0	6000000
五级玄晶矿石	0	6	1	147	0	5	0	3300000
福缘露（大）	0	6	1	124	0	1	0	3000000
福缘露（中）	0	6	1	123	0	1	0	1200000
仙草露	0	6	1	71	0	1	0	1000000
四级玄晶矿石	0	6	1	147	0	4	0	900000
天山玉露	0	6	1	72	0	1	0	750000
百果露	0	6	1	73	0	1	0	700000
福缘露（小）	0	6	1	122	0	1	0	600000
披风	0	6	1	15	0	1	0	250000
三级玄晶矿石	0	6	1	147	0	3	0	225000
冰石结晶	0	4	967	1	0	1	0	200000
玫瑰花雨	0	6	0	20	0	1	0	80000
钟乳石	0	6	1	154	0	1	0	80000
钟乳石	0	6	1	154	1	1	0	80000
钟乳石	0	6	1	154	2	1	0	80000
钟乳石	0	6	1	154	3	1	0	80000
钟乳石	0	6	1	154	4	1	0	80000
朱砂矿	0	6	1	153	0	1	0	80000
芙蓉石	0	6	1	152	0	1	0	80000
芙蓉石	0	6	1	152	1	1	0	80000
芙蓉石	0	6	1	152	2	1	0	80000
芙蓉石	0	6	1	152	3	1	0	80000
芙蓉石	0	6	1	152	4	1	0	80000
秘银矿	0	6	1	151	0	1	0	80000
孔雀石	0	6	1	150	0	1	0	80000
孔雀石	0	6	1	150	1	1	0	80000
孔雀石	0	6	1	150	2	1	0	80000
孔雀石	0	6	1	150	3	1	0	80000
孔雀石	0	6	1	150	4	1	0	80000
玄铁矿	0	6	1	149	0	1	0	80000
心心相映符	0	6	1	18	0	1	0	50000
二级玄晶矿石	0	6	1	147	0	2	0	50000
一级玄晶矿石	0	6	1	147	0	1	0	10000
烟花	0	6	0	11	0	1	0	8000
