Name	Quality	Genre	Detail	Particular	Level	GoodsFive	Magiclevel	TaskValue
钟乳原石	0	6	1	154	1	0	0	10000
钟乳原石	0	6	1	154	1	1	0	10000
钟乳原石	0	6	1	154	1	2	0	10000
钟乳原石	0	6	1	154	1	3	0	10000
钟乳原石	0	6	1	154	1	4	0	10000
朱砂原矿	0	6	1	153	1	0	0	10000
芙蓉原石	0	6	1	152	1	0	0	10000
芙蓉原石	0	6	1	152	1	1	0	10000
芙蓉原石	0	6	1	152	1	2	0	10000
芙蓉原石	0	6	1	152	1	3	0	10000
芙蓉原石	0	6	1	152	1	4	0	10000
秘银原矿	0	6	1	151	1	0	0	10000
孔雀原石	0	6	1	150	1	0	0	10000
孔雀原石	0	6	1	150	1	1	0	10000
孔雀原石	0	6	1	150	1	2	0	10000
孔雀原石	0	6	1	150	1	3	0	10000
孔雀原石	0	6	1	150	1	4	0	10000
玄铁原矿	0	6	1	149	1	0	0	10000
玄晶矿石	0	6	1	147	1	0	0	10000
玄晶矿石	0	6	1	147	2	0	0	30000
玄晶矿石	0	6	1	147	3	0	0	100000
玄晶矿石	0	6	1	147	4	0	0	300000
玄晶矿石	0	6	1	147	5	0	0	1000000
玄晶矿石	0	6	1	147	6	0	0	3000000
玄猿令	0	6	1	2351	1	0	0	3000000
紫莽令	0	6	1	2350	1	0	0	3000000
