TaskId	TaskName	MapId	MapName	MonsterName	KillCount	XPos	YPos	MonsterPath
1		141	药王洞一层	风鸣	20	200	211	药王洞可由龙门镇前往药王谷后到达
2		193	武夷山	灰狼	20	220	172	武夷山可由龙泉村前往
3		92	蜀冈山	灰猴	20	201	201	蜀冈山可由扬州前往
4		167	点苍山	猞猁	20	198	202	点苍山可由大理府前往
5		122	黄河源头	白虎	20	200	205	黄河源头可由龙门镇前往
6		42	天心洞迷宫	流浪	20	213	184	天心洞迷宫可由汴京前往伏牛山到达
7		182	孽龙洞迷宫	狼棒	20	223	203	孽龙洞迷宫可由龙泉村前往武夷山到达
8		38	铁塔迷宫第一层	刀兵	20	198	198	铁塔迷宫第一层可由汴京前往
9		166	千寻塔三层	影棍	20	206	202	千寻塔三层可由大理府前往
10		196	羊角洞迷宫	飞镰	20	199	190	羊角洞迷宫可由龙泉村前往雁荡山到达
11		123	老虎洞迷宫	快腿	20	212	209	老虎洞迷宫可由龙门镇前往黄河源头到达
12		9	长江源头	恶尼	20	297	349	长江源头可由龙泉村前往
13		181	两水洞迷宫	山贼	20	231	198	两水洞迷宫可由龙泉村前往武夷山到达
14		202	芙蓉洞迷宫	长枪	20	213	176	芙蓉洞迷宫可由江津村前往
15		224	沙漠地表	赤练蛇	20	205	193	沙漠地表可由昆仑派前往快活林到达
16		322	长白山北麓	落光	20	253	254	长白山北麓可由汴京前往长白山到达
17		321	长白山南麓	霜刀	20	126	145	长白山南麓可由汴京前往长白山到达
