LEVEL	MAGICPOINT1	PROP1	RESIST1	SKILLLIMIT1	MAGICPOINT2	PROP2	RESIST2	SKILLLIMIT2	MAGICPOINT3	PROP3	RESIST3	SKILLLIMIT3	MAGICPOINT4	PROP4	RESIST4	SKILLLIMIT4	MAGICPOINT5	PROP5	RESIST5	SKILLLIMIT5
160	30	150	1	1																
161	30	153	1	1																
162	31	156	1	1																
163	31	159	1	1																
164	32	162	1	1																
165	32	165	1	1																
166	33	168	1	1																
167	33	171	1	1																
168	34	174	1	1																
169	34	177	1	1																
170	36	180	2	1	15	30	3	1												
171	36	183	2	1	16	35	3	1												
172	36	186	2	1	17	40	3	1												
173	38	189	2	1	18	45	3	1												
174	38	192	2	1	19	50	3	1												
175	38	195	2	1	20	55	3	1												
176	40	198	2	1	21	60	3	1												
177	40	201	2	1	22	65	3	1												
178	40	204	2	1	22	70	3	1												
179	42	207	2	1	23	75	3	1												
180	42	211	3	2	23	79	4	1	10	40	4	1								
181	45	215	3	2	24	83	4	1	10	43	4	1								
182	45	219	3	2	24	87	4	1	11	46	4	1								
183	45	223	3	2	25	91	4	1	11	49	4	1								
184	45	227	3	2	25	95	4	1	12	52	4	1								
185	48	231	3	2	26	99	4	1	12	55	4	1								
186	48	235	3	2	26	103	4	1	13	58	4	1								
187	48	239	3	2	27	107	4	1	13	61	4	1								
188	48	243	3	2	27	111	4	1	14	64	4	1								
189	49	247	3	2	27	115	4	1	14	67	4	1								
190	50	252	4	2	28	118	5	1	15	70	5	1								
191	51	257	4	2	28	121	5	1	15	73	5	1								
192	52	263	4	2	28	124	5	1	16	76	5	1								
193	53	269	4	2	28	127	5	1	16	79	5	1								
194	54	275	4	2	28	130	5	1	17	82	5	1								
195	55	281	4	2	29	133	5	1	17	85	5	1								
196	56	287	4	2	29	136	5	1	18	88	5	1								
197	57	293	4	2	29	139	5	1	18	91	5	1								
198	58	299	4	2	29	142	5	1	19	94	5	1								
199	59	305	4	2	29	145	5	1	19	97	5	1								
200	60	311	5	2	30	150	5	1	20	100	5	1	20	100	5	1	20	100	5	2
