ParentTaskId	TaskId	MinLevel	MaxLevel	Value	Text	Title	Desc
1001	1050	20	30	10	<color=red>凤翔<color>的傲云宗<color=red>（198，206）<color>告诉你最近江湖上出现了一套宝甲—<color=red>天煌龙器<color>，获得这套铠甲的人，将拥有无上威力，成为不老不死的战神。天龙寺有个一个<color=red>痴僧<color>，他知道许多常人不知道的秘密，也许他会知道有关天煌龙器的消息。	龙器初现	江湖上出现了一套绝世铠甲——天煌龙器。传说获得这套铠甲的人，将拥有无上威力，成为不老不死的战神。傲云宗让您去打探有关天煌龙器的消息。原来天煌龙器竟然与岳飞将军之死有着密切的关系…
1001	1050	20	30	20	到大理<color=red>天龙寺<color>找痴僧<color=red>（167，176）<color>打听煌龙器的消息。		
1001	1050	20	30	30	与痴僧对话。痴僧收集围棋图谱成痴，要得到<color=red>天残地缺图谱<color>，才肯告诉你流传江湖上天煌龙器的具体来历。		
1001	1050	20	30	40	在<color=red>天龙寺外<color>杀藏宝客，拿到五本<color=red>天残地缺图谱<color>。		
1001	1050	20	30	50	将五本天残地缺图谱交与痴僧后，才发现原来此人是假扮痴僧的村民。		
1001	1050	20	30	60	任务完成！无奈之下，只好回<color=red>凤翔<color>找傲云宗<color=red>（198，206）<color>。		
1001	1050	20	30	70	傲云宗想起他的老朋友<color=red>箭头<color>在若干年前曾提起过有关煌龙器的事情。		
1001	1050	20	30	80	到<color=red>华山派<color>找隐居了十年的箭头<color=red>（155，204）<color>，向他打听煌龙器的消息。		
1001	1050	20	30	90	箭头说煌龙器与<color=red>岳家军<color>有关。当年岳飞将军并没有死在风波亭，他被江湖侠义中人解救了出来。不过在隐居后不久，却被<color=red>神秘刺客<color>刺杀身亡。		
1001	1050	20	30	100	去找<color=red>凤翔<color>的岑雄<color=red>（192，201）<color>，他是岳飞将军当年侍卫的后代，也许知道消息。		
1001	1050	20	30	110	岑雄听过你的话，告诉你岳飞将军当年上阵确实有一套非常神奇的盔甲，不过后来随着岳飞的离奇被刺，盔甲也不知所踪了。不过他多年查探，终于发现一个叫<color=red>潘如龙<color>的人，是这个家伙刺杀了岳飞将军。		
1001	1050	20	30	120	任务完成！在<color=red>凤翔<color>城外找到潘如龙<color=red>（220，190）<color>，为岳飞将军报仇。杀死潘如龙后得知，其实当年害死将军的另有其人，他不过只是个小喽罗，话没说完就死了...在天煌龙器背后有更大的阴谋…		
1001	1050	20	30	130	你杀掉了潘如龙，可以回去答复傲云宗了。		
1001	1050	20	30	140	告诉<color=red>凤翔<color>的傲云宗<color=red>（198，206）<color>你已经杀死了潘如龙。		
1001	1050	20	30	1000	任务完成！可向傲云宗领取该阶段大奖。		
1001	1051	30	40	10	大宋名匠<color=red>慕容不羁<color>正在临安为宋主贺寿铸造一套宝甲，他需要<color=red>金系的暗属性矿石<color>一颗。	名匠之石	来自临安的特殊任务，名匠人慕容不羁似乎遇到了特殊的麻烦，傲云宗的神色间颇有忧郁，一位匠师似乎无法令他如此动容，究竟这个任务里，隐藏了什么秘密？
1001	1051	30	40	20	傲云宗让你去成都找一名叫贺兰芝<color=red>（385，324）<color>的女子。她曾是慕容不羁的关门弟子，手上有两颗此类宝石。		
1001	1051	30	40	30	贺兰芝说当年成婚离开老家时，这石头便不见了踪影。也许是遗落在江津村，你可以去问问村里的<color=red>吴老太太<color>，并给你一件<color=red>一孔装备<color>，嘱咐说留着这身盔甲，一旦有<color=red>属性宝石<color>，可能会发生些奇怪的事情。		
1001	1051	30	40	40	任务完成！到<color=red>江津村<color>乡吴老太<color=red>（432，387）<color>打听有关宝石的下落。		
1001	1051	30	40	50	吴老太太似乎身染怪病，无法说话。		
1001	1051	30	40	60	你决定回<color=red>凤翔<color>找傲云宗<color=red>（198，206）<color>商量下一步的行动。		
1001	1051	30	40	70	傲云宗说他帮慕容不羁这个忙，是因为当年他曾铸造了一把锋利无比的匕首，这把匕首很有可能就是当年行刺岳飞之人遗留下来的。可是几十年来慕容不羁一直闭口不谈，如果找到矿石，也许能让他开口。现在这样看来，显然有人在背后暗中控制着一切，阻止你们查到事实真相。		
1001	1051	30	40	80	云宗怀疑吴老太太是被人故意下毒。他让你去<color=red>伏牛山<color>杀50头青狼，取出狼骨髓为其医治。		
1001	1051	30	40	90	杀死50头青狼后，回到傲云宗<color=red>（198，206）<color>处。		
1001	1051	30	40	100	任务完成！傲云宗告诉你，好猎手<color=red>龚阿牛<color>会用狼骨泡制药酒，这种药酒舒筋活血可以治吴老太的病。出发前，傲云宗给了你一颗奇怪的<color=red>概率宝石<color>，留着它，以后会有意想不到的作用。		
