TaskName	TaskStart	TaskStarted	TaskNow	TaskEnd	TaskFinish	TaskInfo
Tªn nhiÖm vô 	Thêi gian b¾t ®Çu nhiÖm vô 	Sau khi b¾t ®Çu nhiÖm vô 	TiÕn hµnh nhiÖm vô 	Thêi gian kÕt thóc nhiÖm vô 	Thêi gian ph¸t gi¶i	ThuyÕt minh liªn quan nhiÖm vô 
NgÉu nhiªn_Thu thËp_Tr­êng MÖnh hoµn	<dec><pan>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! CÇn cã 2 viªn Tr­êng MÖnh hoµn giao cho vÖ binh L©m An.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	 <dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_Thu thËp_Gia Bµo hoµn	<dec><pan>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! CÇn cã 2 viªn Gia Bµo hoµn giao cho vÖ binh L©m An.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	 <dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_Thu thËp_§¹i Lùc hoµn	<dec><pan>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! CÇn cã 1 viªn §¹i Lùc hoµn giao cho vÖ binh L©m An.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	 <dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_Thu thËp_Cao ThiÓm hoµn	<dec><pan>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! CÇn cã 2 viªn Cao ThiÓm hoµn giao cho vÖ binh L©m An.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	 <dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_Thu thËp_Cao Trung hoµn	<dec><pan>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! CÇn cã 2 viªn Cao Trung hoµn giao cho vÖ binh L©m An.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	 <dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_Thu thËp_Phi Tèc hoµn	<dec><pan>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! CÇn cã 1 viªn {Phi Tèc hoµn} giao cho vÖ binh L©m An.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	 <dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_Thu thËp_B¨ng Phßng hoµn	<dec><pan>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! CÇn cã 2 viªn B¨ng Phßng hoµn giao cho vÖ binh L©m An.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	 <dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_Thu thËp_L«i phßng hoµn	<dec><pan>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! CÇn cã 2 viªn L«i phßng hoµn giao cho vÖ binh L©m An.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	 <dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_Thu thËp_Háa phßng hoµn	<dec><pan>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! CÇn cã 2 viªn Háa phßng hoµn giao cho vÖ binh L©m An.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	 <dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_Thu thËp_§éc phßng hoµn	<dec><pan>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! CÇn cã 2 viªn §éc phßng hoµn giao cho vÖ binh L©m An.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	 <dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	


NgÉu nhiªn_Thu thËp_HuyÒn ThiÕt Nguyªn Kho¸ng	<dec><pan>H·y ®i t×m 3 miÕng HuyÒn ThiÕt Nguyªn Kho¸ng mang cho Thî rÌn (Thµnh §«) ®óc b¶o khİ! 		<dec><npc>VÉn ch­a cã ®ñ kho¸ng th¹ch ­? LÏ nµo thanh b¶o kiÕm cña chØ lµ ¶o t­ëng?	<dec><npc>Hoan h«! <sex> §ñ B¶o th¹ch råi! B¶o kiÕm cña ta sÏ thµnh c«ng! 	<dec><npc>Xin ch©n thµnh c¶m t¹! Ta cã vËt män nµy, cã thÓ gióp ng­¬i hµnh tÈu giang hå.	
NgÉu nhiªn_Thu thËp_Khæng T­íc Nguyªn Th¹ch 	<dec><pan>H·y ®i t×m 3 miÕng Khæng T­íc Nguyªn Th¹ch mang cho Thî rÌn (Thµnh §«) ®óc b¶o khİ! 		<dec><npc>VÉn ch­a cã ®ñ kho¸ng th¹ch ­? LÏ nµo thanh b¶o kiÕm cña chØ lµ ¶o t­ëng?	<dec><npc>Hoan h«! <sex> §ñ B¶o th¹ch råi! B¶o kiÕm cña ta sÏ thµnh c«ng! 	<dec><npc>Xin ch©n thµnh c¶m t¹! Ta cã vËt män nµy, cã thÓ gióp ng­¬i hµnh tÈu giang hå.	
NgÉu nhiªn_Thu thËp_MËt Ng©n Nguyªn Kho¸ng	<dec><pan>H·y ®i t×m 3 miÕng MËt Ng©n Nguyªn Kho¸ng mang cho Thî rÌn (Thµnh §«) ®óc b¶o khİ! 		<dec><npc>VÉn ch­a cã ®ñ kho¸ng th¹ch ­? LÏ nµo thanh b¶o kiÕm cña chØ lµ ¶o t­ëng?	<dec><npc>Hoan h«! <sex> §ñ B¶o th¹ch råi! B¶o kiÕm cña ta sÏ thµnh c«ng! 	<dec><npc>Xin ch©n thµnh c¶m t¹! Ta cã vËt män nµy, cã thÓ gióp ng­¬i hµnh tÈu giang hå.
NgÉu nhiªn_Thu thËp_Phï Dung Nguyªn Th¹ch 	<dec><pan>H·y ®i t×m 2 miÕng Phï Dung Nguyªn Th¹ch mang cho Thî rÌn (Thµnh §«) ®óc b¶o khİ! 		<dec><npc>VÉn ch­a cã ®ñ kho¸ng th¹ch ­? LÏ nµo thanh b¶o kiÕm cña chØ lµ ¶o t­ëng?	<dec><npc>Hoan h«! <sex> §ñ B¶o th¹ch råi! B¶o kiÕm cña ta sÏ thµnh c«ng! 	<dec><npc>Xin ch©n thµnh c¶m t¹! Ta cã vËt män nµy, cã thÓ gióp ng­¬i hµnh tÈu giang hå.
NgÉu nhiªn_Thu thËp_Chu Sa Nguyªn Kho¸ng	<dec><pan>H·y ®i t×m 3 miÕng Chu Sa Nguyªn Kho¸ng mang cho Thî rÌn (Thµnh §«) ®óc b¶o khİ! 		<dec><npc>VÉn ch­a cã ®ñ kho¸ng th¹ch ­? LÏ nµo thanh b¶o kiÕm cña chØ lµ ¶o t­ëng?	<dec><npc>Hoan h«! <sex> §ñ B¶o th¹ch råi! B¶o kiÕm cña ta sÏ thµnh c«ng! 	<dec><npc>Xin ch©n thµnh c¶m t¹! Ta cã vËt män nµy, cã thÓ gióp ng­¬i hµnh tÈu giang hå.
NgÉu nhiªn_Thu thËp_Chung Nhò Nguyªn Th¹ch 	<dec><pan>H·y ®i t×m 2 miÕng Chung Nhò Nguyªn Th¹ch mang cho Thî rÌn (Thµnh §«) ®óc b¶o khİ! 		<dec><npc>VÉn ch­a cã ®ñ kho¸ng th¹ch ­? LÏ nµo thanh b¶o kiÕm cña chØ lµ ¶o t­ëng?	<dec><npc>Hoan h«! <sex> §ñ B¶o th¹ch råi! B¶o kiÕm cña ta sÏ thµnh c«ng! 	<dec><npc>Xin ch©n thµnh c¶m t¹! Ta cã vËt män nµy, cã thÓ gióp ng­¬i hµnh tÈu giang hå.


NgÉu nhiªn_Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Kim) 	<dec><pan>H·y ®i t×m 1 c¸i s¸t thñ gi¶n (cÊp 90, Kim) mang ®Õn T­¬ng D­¬ng gÆp NiÕp Thİ TrÇn ®Ó nhËn th­ëng! 		<dec><npc>§· l©u ta ch­a tõng kh©m phôc ai. Ng­¬i  <sex>qu¶ thËt kh«ng ®¬n gi¶n.	<dec><npc>Hay qu¸! Thø ta ®ang cÇn ®©y råi! B¶n lÜnh cña ng­¬iqu¶ kh«ng tÇm th­êng!.	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!
NgÉu nhiªn_Thu thËp__S¸t Thñ Gi¶n cÊp 90 (Méc) 	<dec><pan>H·y ®i t×m 1 c¸i s¸t thñ gi¶n (cÊp 90,méc) mang ®Õn T­¬ng D­¬ng gÆp NiÕp Thİ TrÇn ®Ó nhËn th­ëng! 		<dec><npc>§· l©u ta ch­a tõng kh©m phôc ai. Ng­¬i  <sex>qu¶ thËt kh«ng ®¬n gi¶n.	<dec><npc>Hay qu¸! Thø ta ®ang cÇn ®©y råi! B¶n lÜnh cña ng­¬iqu¶ kh«ng tÇm th­êng!.	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!
NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Thñy) 	<dec><pan>H·y ®i t×m 1 c¸i s¸t thñ gi¶n (cÊp 90,thñy) mang ®Õn T­¬ng D­¬ng gÆp NiÕp Thİ TrÇn ®Ó nhËn th­ëng! 		<dec><npc>§· l©u ta ch­a tõng kh©m phôc ai. Ng­¬i  <sex>qu¶ thËt kh«ng ®¬n gi¶n.	<dec><npc>Hay qu¸! Thø ta ®ang cÇn ®©y råi! B¶n lÜnh cña ng­¬iqu¶ kh«ng tÇm th­êng!.	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!
NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Háa) 	<dec><pan>H·y ®i t×m 1 c¸i s¸t thñ gi¶n (cÊp 90,háa) mang ®Õn T­¬ng D­¬ng gÆp NiÕp Thİ TrÇn ®Ó nhËn th­ëng! 		<dec><npc>§· l©u ta ch­a tõng kh©m phôc ai. Ng­¬i  <sex>qu¶ thËt kh«ng ®¬n gi¶n.	<dec><npc>Hay qu¸! Thø ta ®ang cÇn ®©y råi! B¶n lÜnh cña ng­¬iqu¶ kh«ng tÇm th­êng!.	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!
NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Thæ) 	<dec><pan>H·y ®i t×m 1 c¸i s¸t thñ gi¶n (cÊp 90,thæ) mang ®Õn T­¬ng D­¬ng gÆp NiÕp Thİ TrÇn ®Ó nhËn th­ëng! 		<dec><npc>§· l©u ta ch­a tõng kh©m phôc ai. Ng­¬i  <sex>qu¶ thËt kh«ng ®¬n gi¶n	<dec><npc>Hay qu¸! Thø ta ®ang cÇn ®©y råi! B¶n lÜnh cña ng­¬iqu¶ kh«ng tÇm th­êng!.	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!


NgÉu nhiªn_Thu thËp_Ph¸o Hoa	<dec><pan>Nghe nãi thî rÌn ë Thµnh §« ®ang chÕ t¹o 1 thø gióp ng­êi cã thÓ bay lªn trêi, cÇn rÊt nhiÒu c©y ph¸o hoa lµm vËt liÖu, chóng ta h·y mang thªm ph¸o hoa ®Õn! Ta nãng lßng muèn xem ®å h¾n ®ang chÕ t¹o! 		<dec><npc>LÏ nµo lµm viÖc g× còng e dÌ sî sÖt? LÏ nµo c¶ ®êi ta chØ lµm mét tªn thî rÌn bĞ nhá sao?	<dec><npc>Khµ khµ! C¶m ¬n ph¸o hoa cña ng­¬i! §îi ta thu thËp ®ñ vËt liÖu...Bän c­êi nh¹o ta sÏ biÕt thÕ nµo lµ lîi h¹i! 	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!
NgÉu nhiªn_Thu thËp_Phi Phong	<dec><pan>Chóng ta h·y ®i t×m 2 c¸i Phi Phong nhê Vâ l©m truyÒn nh©n (§¹i Lı) göi tÆng §éc C« KiÕm lµm quµ sinh nhËt! BiÕt ®©u sÏ cã träng th­ëng! 		<dec><npc>TÆng quµ sinh nhËt cho minh chñ µ! Minh chñ thİch nhÊt lµ Phi Phong! Cã ®­îc 2 c¸i kh«ng? Ta sÏ chuyÓn dïm ng­¬i! 	<dec><npc>Uhm! Ta sÏ nh¾c tªn ng­¬i víi §éc C« minh chñ! 	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!
NgÉu nhiªn_Thu thËp_T©m T©m	<dec><pan>Nghe nãi NguyÖt l·o ë Giang T©n th«n ®ang cÇn 1 sè T©m T©m T­¬ng ¸nh phï ®Ó tÆng cho nh÷ng ng­êi ®ang yªu! Chóng ta h·y tÆng èng Êy 1 c¸i ®i! 		<dec><npc>HiÖp kh¸ch cã thÓ gióp l·o tİm 1 İt T©m T©m T­¬ng ¸nh phï kh«ng?	<dec><npc> Khµ Khµ! VËy lµ sÏ cã thªm 1 ®«i t×nh nh©n ®­îc vui vÇy bªn nhau! 	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!
NgÉu nhiªn_Thu thËp_Thiªn s¬n  B¶o Lé 	<dec><pan> Mét vŞ danh y ë Long M«n trÊn ®ang cÇn 1 b×nh Thiªn s¬n  B¶o Lé ®Ó chÕ t¹o tiªn d­îc! Ta h·y tÆng cho èng Êy 1 b×nh ®i! 		<dec><npc>¤i! <sex>ch¼ng ph¶i lµ Thiªn s¬n  B¶o Lé ®©y sao?Ta c¶ ®êi n»m m¬ còng kh«ng thÊy	<dec><npc>H« h«! ……¤ h«! Tr¨m nghe kh«ng b»ng 1 thÊy! 	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!
NgÉu nhiªn_Thu thËp_B¸ch Qu¶ Lé 	ngÉu nhiªn_thu thËp B¸ch Qu¶ Lé 		<dec><npc>Cã thÓ cho ta biÕt c¸ch ®Ó t×m B¸ch Qu¶ Lé kh«ng? 	<dec><npc>Ng­¬i hái ®óng ng­êi råi ®ã! CÇn bao nhiªu nµo?	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!
