TaskName	AwardType	AwardText	Genre	Detail	Particular	Level	GoodsFive	Quality	RandomSeed	GoodsNum	MoneyNum	ExpNum	ReputeNum	AwardTask	SelectEvent	ArrayID	ArrayRate	AilledAward
任务名称	奖励类型	奖励文字	总类	分类	细类	等级	五行	黄金装备	随机种子	物品数量	金钱	经验	声望	开始任务名称	在事件里随机选择	数组ID	数组内概率	奖励索引
随机_杀怪_莫高走石	经验	30万经验										300000				1	15	
随机_杀怪_莫高走石	经验	50万经验										500000				1	45	
随机_杀怪_莫高走石	经验	100万经验										1000000				1	30	
随机_杀怪_莫高走石	经验	500万经验										5000000				1	10	
随机_杀怪_莫高走石	物品	神秘大红包	6	1	402	1	0			1						2	5	
随机_杀怪_莫高走石	物品	玫瑰花雨	6	0	20	1	0			1						2	70	
随机_杀怪_莫高走石	随机任务卷轴	随机任务卷轴														2	25	

随机_杀怪_莫高飞沙	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_莫高漠贼	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_莫高沙盗	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_长白北刀斩	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_长白北落光	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_长白北寒枪	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_长白北夺魄	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_长白南铲舞	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_长白南降锤	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_长白南冷弓	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_长白南霜刀	奖励索引																	随机_杀怪_莫高走石

随机_杀怪_沙漠三疾雨	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_沙漠三疾炎	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_沙漠三疾羽	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_沙漠三疾风	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_沙漠三疾电	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_沙漠二流云	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_沙漠二流光	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_沙漠二流风	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_药王四髻匕	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_药王四穿山	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_药王四刀客	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_蚩尤洞黑巾	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_蚩尤洞狼棒	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_蚩尤洞影棍	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_荐菊洞刀客	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_荐菊洞夺命镰	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_荐菊洞花豹子	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_轩辕洞大象	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_轩辕洞黄河象	奖励索引																	随机_杀怪_莫高走石
随机_杀怪_轩辕洞眼镜蛇	奖励索引																	随机_杀怪_莫高走石
