TaskName	TaskType	Genre	Detail	Particular	Level	GoodsFive	Quality	GoodsNum	DelGoods	RecordSeed	Money	KillNpcName	DropRate	TalkNpcName	TalkNpcMap	TaskText
任务名称	任务类型	总类	分类	细类	等级	五行	黄金编号	数量	是否删除物品 	记录随机种子	支付的金钱	杀怪计数编号	掉落百分比	对话人物名字	对话人物地图	任务描述
随机_杀怪_莫高走石	杀怪											400				杀莫高走石24个
随机_杀怪_莫高飞沙	杀怪											401				杀莫高飞沙24个
随机_杀怪_莫高漠贼	杀怪											402				杀莫高漠贼24个
随机_杀怪_莫高沙盗	杀怪											403				杀莫高沙盗24个
随机_杀怪_长白北刀斩	杀怪											404				杀长白北刀斩24个
随机_杀怪_长白北落光	杀怪											405				杀长白北落光24个
随机_杀怪_长白北寒枪	杀怪											406				杀长白北寒枪24个
随机_杀怪_长白北夺魄	杀怪											407				杀长白北夺魄24个
随机_杀怪_长白南铲舞	杀怪											408				杀长白南铲舞24个
随机_杀怪_长白南降锤	杀怪											409				杀长白南降锤24个
随机_杀怪_长白南冷弓	杀怪											410				杀长白南冷弓24个
随机_杀怪_长白南霜刀	杀怪											411				杀长白南霜刀24个
随机_杀怪_沙漠三疾雨	杀怪											412				沙漠三疾雨24个
随机_杀怪_沙漠三疾炎	杀怪											413				沙漠三疾炎24个
随机_杀怪_沙漠三疾羽	杀怪											414				沙漠三疾羽24个
随机_杀怪_沙漠三疾风	杀怪											415				沙漠三疾风24个
随机_杀怪_沙漠三疾电	杀怪											416				沙漠三疾电24个
随机_杀怪_沙漠二流云	杀怪											417				沙漠二流云24个
随机_杀怪_沙漠二流光	杀怪											418				沙漠二流光24个
随机_杀怪_沙漠二流风	杀怪											419				沙漠二流风24个
随机_杀怪_药王四髻匕	杀怪											420				药王四髻匕24个
随机_杀怪_药王四穿山	杀怪											421				药王四穿山24个
随机_杀怪_药王四刀客	杀怪											422				药王四刀客24个
随机_杀怪_蚩尤洞黑巾	杀怪											423				蚩尤洞黑巾24个
随机_杀怪_蚩尤洞狼棒	杀怪											424				蚩尤洞狼棒24个
随机_杀怪_蚩尤洞影棍	杀怪											425				蚩尤洞影棍24个
随机_杀怪_荐菊洞刀客	杀怪											426				荐菊洞刀客24个
随机_杀怪_荐菊洞夺命镰	杀怪											427				荐菊洞夺命镰24个
随机_杀怪_荐菊洞花豹子	杀怪											428				荐菊洞花豹子24个
随机_杀怪_轩辕洞大象	杀怪											429				轩辕洞大象24个
随机_杀怪_轩辕洞黄河象	杀怪											430				轩辕洞黄河象24个
随机_杀怪_轩辕洞眼镜蛇	杀怪											431				轩辕洞眼镜蛇24个
