TaskName	TaskType	Genre	Detail	Particular	Level	GoodsFive	Quality	GoodsNum	DelGoods	RecordSeed	Money	KillNpcName	DropRate	TalkNpcName	TalkNpcMap	TaskText
任务名称	任务类型	总类	分类	细类	等级	五行	黄金编号	数量	是否删除 	记录随机种子	支付的金钱	杀怪计数编号	掉落百分比	对话人物名字	对话人物地图	任务描述
随机_卷轴_收集丸子	对话													城门卫兵	临安	
随机_卷轴_收集丸子	收集物品	6	0	1	n	n		1	1							长命丸
随机_卷轴_收集丸子	收集物品	6	0	2	n	n		1	1							加跑丸
随机_卷轴_收集丸子	收集物品	6	0	3	n	n		1	1							大力丸
随机_卷轴_收集丸子	收集物品	6	0	4	n	n		1	1							高闪丸
随机_卷轴_收集丸子	收集物品	6	0	5	n	n		1	1							高中丸
随机_卷轴_收集丸子	收集物品	6	0	6	n	n		1	1							飞速丸
随机_卷轴_收集丸子	收集物品	6	0	7	n	n		1	1							冰防丸
随机_卷轴_收集丸子	收集物品	6	0	8	n	n		1	1							雷防丸
随机_卷轴_收集丸子	收集物品	6	0	9	n	n		1	1							火防丸
随机_卷轴_收集丸子	收集物品	6	0	10	n	n		1	1							毒防丸

随机_卷轴_收集杀手锏	对话													聂弑尘	襄阳	
随机_卷轴_收集杀手锏	收集物品	6	1	400	90	0		1	1							金90杀手锏
随机_卷轴_收集杀手锏	收集物品	6	1	400	90	1		1	1							木90杀手锏
随机_卷轴_收集杀手锏	收集物品	6	1	400	90	2		1	1							水90杀手锏
随机_卷轴_收集杀手锏	收集物品	6	1	400	90	3		1	1							火90杀手锏
随机_卷轴_收集杀手锏	收集物品	6	1	400	90	4		1	1							土90杀手锏

随机_卷轴_收集矿石	对话													铁匠	成都	
随机_卷轴_收集矿石	收集物品	6	1	149	n	n		1	1							玄铁原矿
随机_卷轴_收集矿石	收集物品	6	1	150	n	0		1	1							金属性孔雀原石
随机_卷轴_收集矿石	收集物品	6	1	150	n	1		1	1							木属性孔雀原石
随机_卷轴_收集矿石	收集物品	6	1	150	n	2		1	1							水属性孔雀原石
随机_卷轴_收集矿石	收集物品	6	1	150	n	3		1	1							火属性孔雀原石
随机_卷轴_收集矿石	收集物品	6	1	150	n	4		1	1							土属性孔雀原石
随机_卷轴_收集矿石	收集物品	6	1	151	n	n		1	1							秘银原矿
随机_卷轴_收集矿石	收集物品	6	1	152	n	0		1	1							金属性芙蓉原石
随机_卷轴_收集矿石	收集物品	6	1	152	n	1		1	1							木属性芙蓉原石
随机_卷轴_收集矿石	收集物品	6	1	152	n	2		1	1							水属性芙蓉原石
