TaskName	Rate10	Rate20	Rate30	Rate40	Rate50	Rate60	Rate70	Rate80	Rate90	Rate100
任务名称	10级权重	20级权重	30级权重	40级权重	50级权重	60级权重	70级权重	80级权重	90级权重	100级权重
随机_收集_长命丸	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_加跑丸	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_大力丸	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_高闪丸	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_高中丸	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_飞速丸	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_冰防丸	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_雷防丸	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_火防丸	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_毒防丸	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_玄铁原矿	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_孔雀原石	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_秘银原矿	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_芙蓉原石	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_朱砂原矿	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_钟乳原石	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_金90杀手锏	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
随机_收集_木90杀手锏	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
随机_收集_水90杀手锏	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
随机_收集_火90杀手锏	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
随机_收集_土90杀手锏	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
随机_收集_烟花	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_披风	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_心心	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_天山玉露	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_百果露	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
随机_收集_小福缘	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
随机_收集_大福缘	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000
