TaskName	Rate10	Rate20	Rate30	Rate40	Rate50	Rate60	Rate70	Rate80	Rate90	Rate100
任务名称	10级权重	20级权重	30级权重	40级权重	50级权重	60级权重	70级权重	80级权重	90级权重	100级权重
随机_杀怪_莫高走石	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_莫高飞沙	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_莫高漠贼	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_莫高沙盗	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_长白北刀斩	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_长白北落光	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_长白北寒枪	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_长白北夺魄	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_长白南铲舞	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_长白南降锤	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_长白南冷弓	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_长白南霜刀	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_沙漠三疾雨	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_沙漠三疾炎	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_沙漠三疾羽	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_沙漠三疾风	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_沙漠三疾电	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_沙漠二流云	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_沙漠二流光	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_沙漠二流风	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_药王四髻匕	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_药王四穿山	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_药王四刀客	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_蚩尤洞黑巾	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_蚩尤洞狼棒	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_蚩尤洞影棍	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_荐菊洞刀客	0	0	0	0	0	0	0	0	0	0
随机_杀怪_荐菊洞夺命镰	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_荐菊洞花豹子	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_轩辕洞大象	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_轩辕洞黄河象	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
随机_杀怪_轩辕洞眼镜蛇	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
