TaskName	TaskType	Genre	Detail	Particular	Level	GoodsFive	Quality	GoodsNum	DelGoods	Money	KillNpcName	TalkNpcName	TalkNpcMap	TaskText
任务名称	任务类型	总类	分类	细类	等级	五行	黄金编号	数量	是否删除物品 	支付的金钱	杀怪计数编号	对话人物名字	对话人物地图	任务描述
随机_对话_翠烟何暮雪	对话										6	何暮雪	翠烟门	
随机_对话_翠烟何暮雪	收集物品	6	0	20	1	0		1	1					1个玫瑰花
随机_对话_襄阳药店老板	对话											药店老板	襄阳	
随机_对话_襄阳药店老板	收集物品	1	2	0	5	0		10	1					10个五花玉露
随机_对话_襄阳衙门卫兵	对话											衙门卫兵	襄阳	
随机_对话_成都铁匠学徒	对话											铁匠学徒	成都	
随机_对话_成都铁匠学徒	收集物品	6	0	11	1	0		1	1					1个烟花
随机_对话_成都辛二婶	对话											辛二婶	成都	
随机_对话_成都辛二婶	收集物品	1	1	0	5	0		3	1					3个首乌还神丹
随机_对话_扬州驿站驿官	对话											驿站驿官	扬州	
随机_对话_扬州驿站驿官_01	对话											蔡公公	临安	
随机_对话_扬州沈风	对话											沈风	扬州	
随机_对话_扬州沈风_01	对话											如玉	汴京	
