TaskName	TaskStart	TaskStarted	TaskNow	TaskEnd	TaskFinish	TaskInfo
任务名称	任务开始时的对话	任务开始后的对话	任务进行中的对话	任务结束时的对话	任务发奖时的对话	任务相关的说明信息
随机_对话_翠烟何暮雪	<dec><pan>你可知道过两天就是{翠烟门}里“蔷薇使者”{何暮雪}的生日了，她是我很要好的一个朋友，好几次有危难时多得她相助，一直想报道她却未能如愿，我想她一个姑娘家总是爱美的吧？你可以帮我送一朵刚采集下来的{玫瑰花}给她吗？	<pan>{翠烟门}就在{大理}的城外，据说玫瑰花可以在{襄阳}的神秘商人{柳乙}处可以买到，我们还是快些过去吧。	何暮雪：这位<sex>来此可有何事呢？	何暮雪：哎呀~！你怎么知道明天就是我的生日？实在是太感谢你了，这花朵真漂亮！	何暮雪：我身边有些我用不着的东西，<sex>你挑挑看吧，或许对你行走江湖有所帮助。	
随机_对话_襄阳药店老板	<dec><pan>据说眼下全国各地正闹瘟疫，各大城市的药铺的存货都已售完，你可以给襄阳的药店老板带去 10 个五花玉露丸吗？		药店老板：唉……近来的药物存货实在是少得无法想象，人们又蜂拥而来抢购，这位<sex>来此可有何事？	药店老板：嗯，虽然这 10 瓶药只是杯水车薪，但这位<sex>的好意我还是心领了。	药店老板：我身边有这些我用不着的东西，<sex>你挑挑看吧，或许对你行走江湖有所帮助。	
随机_对话_襄阳衙门卫兵	<dec><pan>据说名震江湖的大盗马三甲已经将目标对准了襄阳的大户人家朱员外的宝箱上，而且根据某些传闻这马三甲最喜欢装扮成老翁模样混进城，我们最好赶紧去通知一下{襄阳}的{衙门卫兵}，让他们提前做好准备。		衙门卫兵：哼，这样熙熙攘攘的太平盛世我还不相信有谁敢出了豹子胆的在老子眼皮底下犯事！	衙门卫兵：什么？马什么三甲要来老子的地皮行窃？这你放心，哪怕他是变成一只蚂蚁也逃不过老子的法眼！	衙门卫兵：看<sex>赶来报个信也不容易，这样吧，我身边有这些我用不着的东西，你挑挑看吧，或许对你行走江湖有所帮助。	
随机_对话_成都铁匠学徒	<dec><pan>近来我听说了一件很有意思的事情，{成都}的一个{铁匠学徒}竟然想要研制出一种可以使人飞升于天际的事物，而且需要很多烟花炮仗等东西作为材料，你可以带一个{烟花}去给他吗？我倒很想知道他做的倒底是个什么样的东西呢。	据说烟花可以在{襄阳}的{神秘商人柳乙}处买得到，	铁匠学徒：唉，难道做什么事情都要看别人的眼神吗？我这一辈子难道真的只是在这里锤锤打打做个小铁匠？	铁匠学徒：呵呵，这世间总算有个明白人支持我了，谢谢你的烟花，到时候等我集齐了所有的材料……那些嘲笑我的人就知道什么是痴人说梦了。		
随机_对话_成都辛二婶	<dec><pan>听说在成都的辛二婶她的丈夫病了，需要 3 个首乌还神丹方可医治，我想他们的日子也过得挺拮据吧？不如我们买了给他们送去？		辛二婶：唉，真是日苦胜似一日，眼下官府要催交税银的时候我们家的老头子又病倒了，大夫说需要 3 个首乌还神丹方能治愈，我们这些小户人家哪来的钱去买那东西呀！	辛二婶：啊，实在是太感谢这位<sex>了，没想到当今世间还有如此心肠好的人呐！	辛二婶：<sex>的恩德我们无以为报，这么多年来我身边就这点东西了，你看看能不能用得着？	
随机_对话_扬州驿站驿官	<dec><pan>听说{扬州}的{驿站驿官}最近遇到了点小麻烦，我们去看看是否能帮到他吧？					
随机_对话_扬州驿站驿官_01		驿站驿官：这下我可要人头落地了，前些日子皇上身边的大红人{蔡公公}下江南来游玩时我不小心顶撞了他一句，他什么也不说就离开了，如果他记恨在心的话我就是有九条命也不够陪的呀！这位<sex>看起来游历江湖颇久，您能不能帮我去疏通疏通？	蔡公公：你可知道这里是皇宫重地么？来找我有什么事？	蔡公公：嘿嘿，你说的是扬州的那个傻小子吗？放心，本宫大人有大量，不会和他一般见识，你就让他以后识趣点。	蔡公公：看你跑了这么老远来帮他说情也算是义气可嘉，本宫就赏你一些个东西吧！	
随机_对话_扬州沈风	<dec><pan>听说{扬州}一位叫{沈风}的公子最近遇到了点小麻烦，我们去看看是否能帮到他吧？					
随机_对话_扬州沈风_01		沈风：唉，自从我上个月从{汴京}回来之后就一直对一个人念念不忘，她那诱人的双眉，多情的红唇，使我一日不见就茶饭不思，憔悴直今呐。你可否替我传一句话给那位叫{如玉}的姑娘，告诉她只要她愿意，我随时可以放弃一切与她在一起。	如玉：呦！这位<sex>怎么难得有如此的雅兴来我这里逛？怕不只是想见见我这么简单吧？	如玉：什么？你说的是那个叫沈风的傻小字？哈哈，别和老娘开这个玩笑了，就凭他那点酸文字也想讨老娘的欢心？	如玉：看你大老远来逗我开心也挺不容易的，我这里有一些东西不懂你用不用的着，就都给了你吧。	
