Name	Quality	Genre	Detail	Particular	Level	GoodsFive	Magiclevel	ItemValue	ItemRate
物品名称	是否黄金	大类	分类	细类	等级	五行	魔法等级	价值量	概率
古旧箱子	0	6	1	902	1	0	0	6000000	3988
神秘矿石	0	6	1	398	1	0	0	100000000	1
4级玄晶矿石	0	6	1	147	4	0	0	900000	500
5级玄晶矿石	0	6	1	147	5	0	0	3300000	500
6级玄晶矿石	0	6	1	147	6	0	0	12600000	100
7级玄晶矿石	0	6	1	147	7	0	0	36770000	20
8级玄晶矿石	0	6	1	147	8	0	0	126040000	1
福缘露（小）	0	6	1	122	1	0	0	600000	500
福缘露（中）	0	6	1	123	1	0	0	1200000	200
福缘露（大）	0	6	1	124	1	0	0	3000000	100
仙草露	0	6	1	71	1	0	0	400000	200
猩红宝石	0	4	353	1	1	0	0	4500000	300
蓝水晶	0	4	238	1	1	0	0	5000000	500
绿水晶	0	4	240	1	1	0	0	5000000	500
紫水晶	0	4	239	1	1	0	0	5000000	500
洗髓经	0	6	1	22	1	0	0	42000000	30
武林秘籍	0	6	1	26	1	0	0	55000000	30
定国之青纱长衫	1	159	1	1	1	0	0	45000000	20
定国之钨砂发冠	1	160	1	1	1	0	0	120000000	20
定国之赤绢软靴	1	161	1	1	1	0	0	12000000	20
定国之紫藤护腕	1	162	1	1	1	0	0	12000000	20
定国之银蚕腰带	1	163	1	1	1	0	0	12000000	20
安邦之冰晶石项链	1	164	1	1	1	0	0	200000000	20
安邦之菊花石指环	1	165	1	1	1	0	0	150000000	20
安邦之田黄石玉佩	1	166	1	1	1	0	0	120000000	20
安邦之鸡血石戒指	1	167	1	1	1	0	0	150000000	20
金刚不破·同伴秘籍	0	6	1	834	6	0	0	3000000	25
百毒不侵·同伴秘籍	0	6	1	835	6	0	0	3000000	25
冰雪初融·同伴秘籍	0	6	1	836	6	0	0	3000000	25
真火抗力·同伴秘籍	0	6	1	837	6	0	0	3000000	25
雷霆护甲·同伴秘籍	0	6	1	838	6	0	0	3000000	25
平和气诀·同伴秘籍	0	6	1	849	6	0	0	3000000	25
虚空闪影·同伴秘籍	0	6	1	850	6	0	0	3000000	25
会神静心·同伴秘籍	0	6	1	851	6	0	0	3000000	25
无念心经·同伴秘籍	0	6	1	852	6	0	0	3000000	25
