Name	Quality	Genre	Detail	Particular	Level	GoodsFive	ItemRate	IsPublic
名称	品质	道具类别	具体类别	详细类别	等级	五行	概率	是否公告
雅典之魂	1	141	3	0	1	1	1	1
北京之梦	1	142	3	0	1	1	1	1
板栗粽子	0	6	0	60	1	1	20000	0
猪肉粽子	0	6	0	61	1	1	50000	0
牛肉粽子	0	6	0	62	1	1	20000	0
什锦粽子	0	6	1	63	1	1	7000	0
蜜饯什锦粽子	0	6	1	64	1	1	8000	0
八宝什锦粽子	0	6	1	65	1	1	10000	0
百果什锦粽子	0	6	1	66	1	1	30000	0
水晶什锦粽子	0	6	1	67	1	1	80020	0
屈原什锦粽子	0	6	1	68	1	1	2300	1
桂花酒	0	6	1	125	1	1	10000	0
八珍福月团圆饼	0	6	1	126	1	1	80000	0
奉月果蓉	0	6	1	127	1	1	10000	1
贡月芙蓉	0	6	1	128	1	1	10000	1
豆沙粽子	0	6	1	435	1	1	10000	0
香菇粽子	0	6	1	436	1	1	10000	0
蛋黄粽子	0	6	1	437	1	1	60000	0
易容面具-圣诞老人	0	0	11	70	1	1	5000	0
易容面具-圣诞天使	0	0	11	71	1	1	5000	0
节日面具-大头娃娃	0	0	11	72	1	1	5000	0
节日面具-舞南狮子	0	0	11	73	1	1	5000	0
节日面具-舞北狮子	0	0	11	74	1	1	5000	0
节日面具-舞龙珠	0	0	11	75	1	1	5000	0
节日面具-舞龙头	0	0	11	76	1	1	5000	0
节日面具-舞龙身	0	0	11	77	1	1	5000	0
节日面具-舞龙尾	0	0	11	78	1	1	5000	0
易容面具-雪豹	0	0	11	27	1	1	5000	0
易容面具-青狼	0	0	11	30	1	1	5000	0
易容面具-刺猬	0	0	11	35	1	1	5000	0
易容面具-棕熊	0	0	11	38	1	1	5000	0
易容面具-野牛	0	0	11	40	1	1	5000	0
易容面具-眼镜蟒蛇	0	0	11	43	1	1	5000	0
易容面具-金雕	0	0	11	47	1	1	1000	0
易容面具-金猫	0	0	11	54	1	1	5000	0
易容面具-金丝猴	0	0	11	61	1	1	5000	0
易容面具-梅花鹿	0	0	11	65	1	1	5000	0
易容面具-白猪	0	0	11	66	1	1	5000	0
爱恋巧克力	0	6	1	833	1	1	100000	0
莲蓉月饼	0	6	1	892	1	1	31678	0
蛋黄莲蓉月饼	0	6	1	894	1	1	100000	0
藏宝图	0	6	2	3	1	1	200000	0
镇狱破天劲·同伴绝技秘籍	0	6	1	839	2	1	1000	0
大悲咒·同伴绝技秘籍	0	6	1	840	2	1	1000	0
炼狱腐蛊·同伴绝技秘籍	0	6	1	841	2	1	1000	0
蚀骨血仞·同伴绝技秘籍	0	6	1	842	2	1	1000	0
逆转心经·同伴绝技秘籍	0	6	1	843	2	1	1000	0
玄冰阴气·同伴绝技秘籍	0	6	1	844	2	1	1000	0
尘空梵烬·同伴绝技秘籍	0	6	1	845	2	1	1000	0
