TextID	When	Where	Who	Why1	Why2	What
8001	昨天	n	名叫马员外	n	n	价格十分便宜
8002	前天	n	名叫徐专员	n	n	质量特别好
8003	刚刚	n	名叫李大嘴	n	n	正在打八折
8004	n	n	名叫朱德福	n	n	正在打七折
8005	n	n	自称为陆秀才	n	n	正在清仓甩卖
8006	n	n	自称为廖将军	n	n	正在大甩卖
8007	n	n	自称为武林盟传人	n	n	是由名师邪门所造
8008	n	n	自称为天王帮弟子	n	n	乃罕见的极品
8009	n	n	自称为武当派弟子	n	n	乃物美价廉之极品
8010	n	n	自称为独孤刀	n	n	是由名匠干浆所造
8011	n	n	自称为唐门掌门	n	n	乃上古罕见的奇物
8012	n	n	自称为武当掌门	n	n	n
8013	n	n	自称为昆仑派大弟子	n	n	n
8014	n	n	自称为天机算	n	n	n
8015	n	n	自称为完颜不烈	n	n	n
8016	n	n	自称为西方求败	n	n	n
8017	n	n	自称为南宫飞仙	n	n	n
8018	n	n	自称为唐门副掌门	n	n	n
8019	n	n	自称为天忍首席教徒	n	n	n
8020	n	n	自称为孤独长枪	n	n	n
