TextID	When	Where	Who	Why1	Why2	What
8001	前天	成都府	名叫马员外	路过怡春院时	发现自己的	不见了
8002	昨天	凤翔府	名叫徐专员	在酒馆喝酒时	发觉自己的	失踪了
8003	三天前	大理府	名叫李大嘴	在野外小解时	n	被人偷了
8004	四天前	汴京府	名叫朱德福	从怡红院出来时	n	n
8005	五天前	襄阳府	自称为陆秀才	从怡芳院出来时	n	n
8006	一个月前	扬州府	自称为廖将军	从马上摔下来之后	n	n
8007	两个月前	临安府	自称为武林盟传人	一觉睡醒之后	n	n
8008	三个月前	龙门镇	自称为天王帮弟子	在醉酒醒来之后	n	n
8009	n	永乐镇	自称为武当派弟子	晚上从依依楼出来之后	n	n
8010	n	龙泉村	自称为独孤刀	晚上从汇春楼出来之后	n	n
8011	n	石鼓镇	自称为唐门掌门	n	n	n
8012	n	稻香村	自称为武当掌门	n	n	n
8013	n	朱仙镇	自称为昆仑派大弟子	n	n	n
8014	n	江津村	自称为天王帮帮主之夫	n	n	n
8015	n	巴陵县	自称为完颜不烈	n	n	n
8016	n	南岳镇	自称为西方求败	n	n	n
8017	n	n	自称为南宫飞仙	n	n	n
8018	n	n	自称为唐门副掌门	n	n	n
8019	n	n	自称为天忍首席教徒	n	n	n
8020	n	n	自称为孤独长枪	n	n	n
