TextID	When	Where	Who	Why1	Why2	What
8001	我近来听说	n	n	我很想看一看	n	这个世界上有一种
8002	最近我听人说	n	n	我很想见识见识	n	目前有一种
8003	你可听说过	n	n	我不大相信	n	一位大侠曾经拥有一件
8004	n	n	n	我这辈子还没见过那样的东西	n	一位叫西门吹风的大侠曾经拥有一件
8005	n	n	n	我活了这么久还没见过那样的东西	n	一位叫孤独刀的大侠曾经拥有一件
8006	n	n	n	n	n	一位名叫孤独的剑的大侠曾经拥有过一件
8007	n	n	n	n	n	一位名叫莫喜的大侠曾经拥有一件
8008	n	n	n	n	n	一位名叫南宫下雨的大侠曾经拥有过一件
8009	n	n	n	n	n	n
8010	n	n	n	n	n	n
8011	n	n	n	n	n	n
8012	n	n	n	n	n	n
8013	n	n	n	n	n	n
8014	n	n	n	n	n	n
8015	n	n	n	n	n	n
8016	n	n	n	n	n	n
8017	n	n	n	n	n	n
8018	n	n	n	n	n	n
8019	n	n	n	n	n	n
8020	n	n	n	n	n	n
