TextID	When	Where	Who	Why1	Why2	What
8001	前几天	n	名叫马员外	n	n	n
8002	昨天	n	名叫徐专员	n	n	n
8003	前天	n	名叫李大嘴	n	n	n
8004	前些日子	n	名叫朱德福	n	n	n
8005	前一段时间	n	自称为陆秀才	n	n	n
8006	n	n	自称为廖将军	n	n	n
8007	n	n	自称为武林盟传人	n	n	n
8008	n	n	自称为天王帮弟子	n	n	n
8009	n	n	自称为武当派弟子	n	n	n
8010	n	n	自称为独孤刀	n	n	n
8011	n	n	自称为唐门掌门	n	n	n
8012	n	n	自称为武当掌门	n	n	n
8013	n	n	自称为昆仑派大弟子	n	n	n
8014	n	n	自称为天机算	n	n	n
8015	n	n	自称为完颜不烈	n	n	n
8016	n	n	自称为西方求败	n	n	n
8017	n	n	自称为南宫飞仙	n	n	n
8018	n	n	自称为唐门副掌门	n	n	n
8019	n	n	自称为天忍首席教徒	n	n	n
8020	n	n	自称为孤独长枪	n	n	n
