TaskID	Genre	Detail	Particular	Level	GoodsFive	TaskValue1	TaskValue2	TaskRate1	TaskRate2	TaskRate3	TaskRate4	TaskRate5	TaskRate6	TaskRate7	TaskRate8	TaskRate9	TaskRate10	TaskRate11	TaskRate12	TaskRate13	TaskRate14	TaskRate15	TaskRate16	TaskRate17	TaskRate18	TaskRate19	TaskRate20	TaskInfo	TaskInfo1
1001	0	0	0	3	0	2700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	襄阳铁匠铺	金属性青峰剑
1002	0	6	1	4	4	3700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	襄阳杂货铺	土属性铁腰带
1003	0	0	2	3	2	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	成都铁匠铺	水属性盘花棍
1004	0	8	0	5	2	1800	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	成都杂货铺	水属性金丝镯
1005	0	0	1	3	4	2700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	汴京铁匠铺	土属性鬼头刀
1006	0	8	1	5	2	1800	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	汴京杂货铺	水属性鳄皮护腕
1007	0	8	0	4	2	1000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	凤翔杂货铺	水属性银丝镯
1008	0	0	3	3	1	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	凤翔武器铺	木属性点钢枪
1009	0	0	5	3	1	2700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	大理武器铺	木属性月牙刺
1010	0	6	0	5	3	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	大理杂货铺	火属性鳄皮腰带
1011	0	0	5	3	3	2700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	扬州武器铺	火属性月牙刺
1012	0	8	1	4	2	1000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	扬州杂货铺	水属性蟒皮护腕
1013	0	0	2	3	1	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	临安铁匠铺	木属性盘花棍
1014	0	5	2	5	1	1600	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	临安杂货铺	木属性缎鞋
1015	0	0	0	3	0	2700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	襄阳铁匠铺	金属性青峰剑
1016	0	6	1	4	4	3700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	襄阳杂货铺	土属性铁腰带
1017	0	0	2	3	2	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	成都铁匠铺	水属性盘花棍
1018	0	8	0	5	2	1800	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	成都杂货铺	水属性金丝镯
1019	0	0	1	3	4	2700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	汴京铁匠铺	土属性鬼头刀
1020	0	8	1	5	2	1800	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	汴京杂货铺	水属性鳄皮护腕
1021	0	8	0	4	2	1000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	凤翔杂货铺	水属性银丝镯
1022	0	0	3	3	1	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	凤翔武器铺	木属性点钢枪
1023	0	0	5	3	1	2700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	大理武器铺	木属性月牙刺
1024	0	6	0	5	3	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	大理杂货铺	火属性鳄皮腰带
