TaskID	MapID	TaskInfo1	Num	MapType	TaskValue1	TaskValue2	TaskRate1	TaskRate2	TaskRate3	TaskRate4	TaskRate5	TaskRate6	TaskRate7	TaskRate8	TaskRate9	TaskRate10	TaskRate11	TaskRate12	TaskRate13	TaskRate14	TaskRate15	TaskRate16	TaskRate17	TaskRate18	TaskRate19	TaskRate20
4001	1	凤翔	4	1	0	200000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4002	11	成都	4	1	0	200000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4003	37	汴京	4	1	0	200000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004	78	襄阳	4	1	0	200000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4005	80	扬州	4	1	0	200000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4006	162	大理	4	1	0	200000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4007	176	临安	4	1	0	200000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4008	99	永乐镇	4	1	0	200000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4009	100	朱仙镇	4	1	0	200000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4010	101	稻香村	4	1	0	200000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4011	153	石鼓镇	4	1	0	200000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4012	121	龙门镇	4	1	0	200000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4013	53	巴陵县	4	1	0	200000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4014	174	龙泉村	4	1	0	200000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4015	20	江津村	4	1	0	200000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
