TaskID	Num	TaskValue1	TaskValue2	TaskRate1	TaskRate2	TaskRate3	TaskRate4	TaskRate5	TaskRate6	TaskRate7	TaskRate8	TaskRate9	TaskRate10	TaskRate11	TaskRate12	TaskRate13	TaskRate14	TaskRate15	TaskRate16	TaskRate17	TaskRate18	TaskRate19	TaskRate20
6001	1	5000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
6002	5	25000	20000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	6000	7000	8000	9000	9000	9000	9000	9000	9000
6003	10	50000	30000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	3000	3500	4000	4500	5000	8000	8000	8000	8000	8000
6004	20	100000	50000	800	800	800	800	800	800	800	800	800	800	1500	1800	2100	2400	2700	7000	7000	7000	7000	7000
6005	50	250000	150000	500	500	500	500	500	500	500	500	500	500	1000	1200	1400	1600	1800	6000	6000	6000	6000	6000
6006	100	500000	500000	200	200	200	200	200	200	200	200	200	200	500	600	700	800	900	5000	5000	5000	5000	5000
6007	200	1000000	1500000	50	50	50	50	50	50	50	50	50	50	200	240	280	320	360	2000	2000	2000	2000	2000
6008	500	2500000	4500000	10	10	10	10	10	10	10	10	10	10	50	60	70	80	90	500	500	500	500	500
6009	1000	5000000	10000000	5	5	5	5	5	5	5	5	5	5	10	15	20	25	30	10	10	10	10	10
6010	2000	10000000	18000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5
6011	5000	25000000	45000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
