Id	BossName	MapName	MapId	XPos	YPos	BossPath
1	卓冷琴	伏流洞	73	193	184	卓冷琴在伏流洞，由巴陵县前往武陵山到达
2	萧天傲	伏流洞	73	177	189	萧天傲在伏流洞，由巴陵县前往武陵山到达
3	穆冥杰	伏流洞	73	205	193	穆冥杰在伏流洞，由巴陵县前往武陵山到达
4	毕尤放	伏流洞	73	217	190	毕尤放在伏流洞，由巴陵县前往武陵山到达
5	陆久幽	剑阁中原	43	200	189	陆久幽在剑阁中原，由汴京前往伏牛山西，途径天心洞后到达
6	步嚣尘	剑阁中原	43	214	196	步嚣尘在剑阁中原，由汴京前往伏牛山西，途径天心洞后到达
7	谷剑秋	剑阁中原	43	225	191	谷剑秋在剑阁中原，由汴京前往伏牛山西，途径天心洞后到达
8	邵华容	剑阁中原	43	223	171	邵华容在剑阁中原，由汴京前往伏牛山西，途径天心洞后到达
9	关子漠	白水洞迷宫	71	210	196	关子漠在白水洞中迷宫，由巴陵县前往武陵山后到达
10	彭刺海	白水洞迷宫	71	200	192	彭刺海在白水洞中迷宫，由巴陵县前往武陵山后到达
11	碧浮平	白水洞迷宫	71	197	199	碧浮平在白水洞中迷宫，由巴陵县前往武陵山后到达
12	丈冷山	白水洞迷宫	71	199	205	丈冷山在白水洞中迷宫，由巴陵县前往武陵山后到达
13	萧剑雪	火狼洞迷宫	83	189	192	萧剑雪在火狼洞迷宫，前往武当派到达
14	柯少爷	火狼洞迷宫	83	195	180	柯少爷在火狼洞迷宫，前往武当派到达
15	掌八方	火狼洞迷宫	83	215	189	掌八方在火狼洞迷宫，前往武当派到达
16	梦乙非	火狼洞迷宫	83	212	199	梦乙非在火狼洞迷宫，前往武当派到达
17	司徒绝匕	猛虎洞	14	224	200	司徒绝匕在猛虎洞，前往峨眉派到达
18	上官浪	猛虎洞	14	214	207	上官浪在猛虎洞，前往峨眉派到达
19	阳清隐	猛虎洞	14	203	196	阳清隐在猛虎洞，前往峨眉派到达
20	魏占申	猛虎洞	14	213	200	魏占申在猛虎洞，前往峨眉派到达
21	姚守秋	金光洞迷宫	4	197	187	姚守秋在金光洞迷宫，由凤翔前往剑阁蜀道西北后到达
22	佘霸东	金光洞迷宫	4	219	203	佘霸东在金光洞迷宫，由凤翔前往剑阁蜀道西北后到达
23	良思南	金光洞迷宫	4	218	185	良思南在金光洞迷宫，由凤翔前往剑阁蜀道西北后到达
24	卓七郎	金光洞迷宫	4	192	180	卓七郎在金光洞迷宫，由凤翔前往剑阁蜀道西北后到达
25	乔鼎天	白云洞迷宫	22	215	199	乔鼎天白云洞迷宫，由成都前往青城山后到达
26	仲无极	白云洞迷宫	22	223	190	仲无极白云洞迷宫，由成都前往青城山后到达
27	弃琴士	白云洞迷宫	22	236	200	弃琴士白云洞迷宫，由成都前往青城山后到达
28	丁文昱	白云洞迷宫	22	215	209	丁文昱白云洞迷宫，由成都前往青城山后到达
29	封五印	燕子洞迷宫	77	171	219	封五印在燕子洞迷宫，由巴陵县前往苗岭后到达
30	康不悔	燕子洞迷宫	77	180	209	康不悔在燕子洞迷宫，由巴陵县前往苗岭后到达
