prize_Quality	prize_item	nItemGenre	nItemDetailType	nItemParticularType	nItemLevel	nItemSeries	ItemLuck	nItemMagicLevel	prize_name
1	5	2	0	0	1	0	5	0	梦龙之金丝正红袈裟
1	5	6	0	0	1	0	5	0	伏魔之紫金棍
1	5	11	0	0	1	0	5	0	四空之降魔戒刀
1	5	16	0	0	1	0	5	0	撼天之金环大眼神锤
1	5	21	0	0	1	0	5	0	继业之奔雷钻龙枪
1	5	26	0	0	1	0	5	0	御龙之亮银宝刀
1	5	31	0	0	1	0	5	0	无间之倚天剑
1	5	39	0	0	1	0	5	0	无魇之洗象玉扣
1	5	42	0	0	1	0	5	0	无尘之清心向善珠
1	5	46	0	0	1	0	5	0	栖凰之凤仪刀
1	5	51	0	0	1	0	5	0	碧海之鸳鸯连环刀
1	5	60	0	0	1	0	5	0	幽胧之墨蛛软履
1	5	61	0	0	1	0	5	0	冥幻之邪刹毒刃
1	5	67	0	0	1	0	5	0	咒缚之灭雷颈符
1	5	71	0	0	1	0	5	0	冰寒之弹指飞刀
1	5	76	0	0	1	0	5	0	天光之花雨漫天
1	5	81	0	0	1	0	5	0	森荒之飞星夺魂
1	5	87	0	0	1	0	5	0	地魄之黑焰冲天链
1	5	92	0	0	1	0	5	0	同仇之降龙丐衣
1	5	96	0	0	1	0	5	0	敌忾之绿玉杖
1	5	101	0	0	1	0	5	0	魔煞之鬼谷幽冥枪
1	5	106	0	0	1	0	5	0	魔煌之金甲盔
1	5	115	0	0	1	0	5	0	魔嗜之山海飞鸿履
1	5	119	0	0	1	0	5	0	凌岳之无极玄玉佩
1	5	121	0	0	1	0	5	0	及丰之真武剑
1	5	126	0	0	1	0	5	0	霜晶之千年寒铁
1	5	132	0	0	1	0	5	0	雷穹之天地护符
1	5	136	0	0	1	0	5	0	雾幻之北冥道冠
1	5	159	0	0	1	0	5	0	定国之青纱长衫
1	5	160	0	0	1	0	5	0	定国之钨砂发冠
1	5	161	0	0	1	0	5	0	定国之赤绢软靴
1	5	162	0	0	1	0	5	0	定国之紫藤护腕
1	5	163	0	0	1	0	5	0	定国之银蚕腰带
1	5	164	0	0	1	0	5	0	安邦之冰晶石项链
1	5	165	0	0	1	0	5	0	安邦之菊花石指环
1	5	166	0	0	1	0	5	0	安邦之田黄石玉佩
1	5	167	0	0	1	0	5	0	安邦之鸡血石戒指
1	4	186	0	0	1	0	5	0	侠骨之铁血衫
1	4	187	0	0	1	0	5	0	侠骨之多情环
1	4	188	0	0	1	0	5	0	侠骨之丹心戒
1	4	189	0	0	1	0	5	0	侠骨之情意结
1	4	190	0	0	1	0	5	0	柔情之巾帼霓裳
1	4	191	0	0	1	0	5	0	柔情之淑女项链
1	4	192	0	0	1	0	5	0	柔情之凤仪戒指
1	4	193	0	0	1	0	5	0	柔情之慧心玉佩
1	4	168	0	0	1	0	5	0	天煌龙器之龙抬头
1	4	169	0	0	1	0	5	0	天煌龙器之白龙息
1	4	170	0	0	1	0	5	0	天煌龙器之镇冥之链
1	4	171	0	0	1	0	5	0	天煌龙器之九现之指
1	4	172	0	0	1	0	5	0	天煌龙器之玉逍遥
1	4	173	0	0	1	0	5	0	天煌龙器之黄金鳞
1	4	174	0	0	1	0	5	0	天煌龙器之磐龙瑰
1	4	175	0	0	1	0	5	0	天煌龙器之龙哭千里
1	4	176	0	0	1	0	5	0	天煌龙器之怒龙之瞳
1	4	177	0	0	1	0	5	0	金枫之青阳盔
1	4	178	0	0	1	0	5	0	金枫之麒麟血
1	4	179	0	0	1	0	5	0	金枫之濯之链光
1	4	180	0	0	1	0	5	0	金枫之公谨三叹
1	4	181	0	0	1	0	5	0	金枫之夺魂玉带
1	4	182	0	0	1	0	5	0	金枫之后羿引弓
1	4	183	0	0	1	0	5	0	金枫之兰亭玉
1	4	184	0	0	1	0	5	0	金枫之千里草上飞
1	4	185	0	0	1	0	5	0	金枫之铜雀春深
0	1	6	1	26	1	0	5	0	武林秘籍
0	1	6	1	22	1	0	5	0	洗髓经
2	2	0	8	1	10	0	5	-1	6孔天蚕护腕
2	2	0	8	1	10	1	5	-1	6孔天蚕护腕
2	2	0	8	1	10	2	5	-1	6孔天蚕护腕
2	2	0	8	1	10	3	5	-1	6孔天蚕护腕
2	2	0	8	1	10	4	5	-1	6孔天蚕护腕
2	2	0	8	0	10	0	5	-1	6孔龙凤血玉镯
2	2	0	8	0	10	1	5	-1	6孔龙凤血玉镯
2	2	0	8	0	10	2	5	-1	6孔龙凤血玉镯
2	2	0	8	0	10	3	5	-1	6孔龙凤血玉镯
2	2	0	8	0	10	4	5	-1	6孔龙凤血玉镯
0	1	4	239	1	1	0	5	0	紫水晶
0	1	4	238	1	1	0	5	0	兰水晶
0	1	4	240	1	1	0	5	0	绿水晶
0	1	4	353	1	1	0	5	0	猩红宝石
0	3	6	1	147	6	0	5	0	六级玄晶矿石
0	3	6	1	147	5	0	5	0	五级玄晶矿石
0	3	6	1	147	4	0	5	0	四级玄晶矿石
0	1	6	1	124	1	0	5	0	福缘露（大）
0	1	6	1	123	1	0	5	0	福缘露（中）
0	1	6	1	122	1	0	5	0	福缘露（小）
0	1	6	1	71	1	0	5	0	仙草露
0	1	6	1	72	1	0	5	0	天山玉露
0	1	6	1	73	1	0	5	0	百果露
