	586	587	588	589	590	591	593	594	595	596	597
兵甲坊总管(198)	1616,3293,	1609,3300,	1608,3302,	1616,3293,	1616,3293,	1608,3299,	1616,3293,	1608,3301,	1616,3293,	1616,3293,	1616,3293,
天工坊总管(200)	1630,3279,	1624,3284,	1625,3283,	1630,3279,	1630,3279,	1630,3279,	1630,3279,	1625,3283,	1630,3279,	1630,3279,	1630,3279,
面具坊总管(375)	1643,3266,	1642,3267,	1643,3266,	1640,3269,	1643,3266,	1643,3266,	1643,3266,	1639,3270,	1643,3266,	1643,3266,	1643,3266,
天意坊总管(455)	1681,3228,	1684,3224,	1681,3228,	1681,3228,	1681,3228,	1681,3228,	1681,3228,	1681,3228,	1681,3228,	1681,3228,	1681,3228,
试炼坊总管(769)	1669,3240,	1669,3240,	1669,3240,	1669,3240,	1669,3240,	1669,3240,	1669,3240,	1669,3240,	1669,3240,	1669,3240,	1669,3240,
礼物坊总管(377)	1692,3216,	1692,3216,	1692,3216,	1692,3216,	1692,3216,	1692,3216,	1692,3216,	1692,3216,	1692,3216,	1692,3216,	1692,3216,
活动坊总管(308)	1706,3203,	1706,3203,	1706,3203,	1706,3203,	1706,3203,	1706,3203,	1706,3203,	1706,3203,	1706,3203,	1706,3203,	1706,3203,
车夫(235)	1718,3304,	1718,3309,	1718,3309,	1720,3309,	1714,3306,	1710,3317,	1713,3303,	1712,3301,	1718,3304,	1718,3304,	1718,3304,
储物箱(625)	1685,3270,	1685,3270,	1685,3270,	1685,3270,	1685,3270,	1685,3270,	1685,3270,	1685,3270,	1685,3270,	1685,3270,	1685,3270,
祭酒(329)	1668,3270,	1668,3270,	1668,3270,	1668,3270,	1668,3270,	1668,3270,	1668,3270,	1668,3270,	1668,3270,	1668,3270,	1668,3270,
兵甲坊()	1612,3290,	1604,3296,	1605,3296,	1612,3290,	1612,3290,	1605,3297,	1612,3290,	1606,3296,	1612,3290,	1612,3290,	1612,3290,
天工坊()	1624,3274,	1621,3277,	1621,3277,	1624,3274,	1624,3274,	1624,3274,	1624,3274,	1621,3278,	1624,3274,	1624,3274,	1624,3274,
面具坊()	1639,3258,	1636,3261,	1639,3258,	1636,3261,	1639,3258,	1637,3260,	1639,3258,	1636,3262,	1639,3258,	1639,3258,	1639,3258,
天意坊()	1679,3224,	1681,3219,	1678,3222,	1678,3222,	1678,3222,	1678,3222,	1678,3222,	1678,3222,	1679,3224,	1679,3224,	1679,3224,
试炼坊()	1665,3236,	1665,3236,	1665,3236,	1665,3236,	1665,3236,	1665,3236,	1665,3236,	1665,3236,	1665,3236,	1665,3236,	1665,3236,
礼物坊()	1690,3214,	1690,3214,	1690,3214,	1690,3214,	1690,3214,	1690,3214,	1690,3214,	1690,3214,	1690,3214,	1690,3214,	1690,3214,
活动坊()	1702,3203,	1699,3202,	1700,3201,	1700,3201,	1700,3201,	1700,3201,	1700,3201,	1700,3201,	1702,3203,	1702,3203,	1702,3203,
战斗区总管北()	1661,3143,	1661,3143,	1661,3143,	1661,3143,	1661,3143,	1661,3143,	1661,3143,	1661,3143,	1661,3143,	1661,3143,	1661,3143,
战斗区总管南()	1555,3261,	1555,3261,	1555,3261,	1555,3261,	1555,3261,	1555,3261,	1555,3261,	1555,3261,	1555,3261,	1555,3261,	1555,3261,
建设等级图腾之柱	1673,3265,	1673,3265,	1673,3265,	1673,3265,	1673,3265,	1673,3265,	1673,3265,	1673,3265,	1673,3265,	1673,3265,	1673,3265,
占城帮会图腾之柱	1665,3273,	1665,3273,	1665,3273,	1665,3273,	1665,3273,	1665,3273,	1665,3273,	1665,3273,	1665,3273,	1665,3273,	1665,3273,
